target,row,column,row_monomial,column_monomial,gram_entry
e4_residual_1_over_16,21,8,f1^3*f2,f0^2*f2*f3,-6.097129081803049e-06
e4_residual_1_over_16,21,9,f1^3*f2,f0^2*f3^2,-0.00012061460968637214
e4_residual_1_over_16,21,10,f1^3*f2,f0*f1^3,1.6299849796807316e-05
e4_residual_1_over_16,21,11,f1^3*f2,f0*f1^2*f2,1.8758618226992919e-06
e4_residual_1_over_16,21,12,f1^3*f2,f0*f1^2*f3,0.00010345204080629702
e4_residual_1_over_16,21,13,f1^3*f2,f0*f1*f2^2,-2.9741800602760615e-06
e4_residual_1_over_16,21,14,f1^3*f2,f0*f1*f2*f3,7.825473558781684e-05
e4_residual_1_over_16,21,15,f1^3*f2,f0*f1*f3^2,2.8878350735581454e-05
e4_residual_1_over_16,21,16,f1^3*f2,f0*f2^3,3.1770224004416574e-05
e4_residual_1_over_16,21,17,f1^3*f2,f0*f2^2*f3,6.775158663272114e-05
e4_residual_1_over_16,21,18,f1^3*f2,f0*f2*f3^2,3.0808288453728365e-05
e4_residual_1_over_16,21,19,f1^3*f2,f0*f3^3,-1.4915425656531142e-05
e4_residual_1_over_16,21,20,f1^3*f2,f1^4,-1.889690629083945e-05
e4_residual_1_over_16,21,21,f1^3*f2,f1^3*f2,0.0005191991890246353
e4_residual_1_over_16,22,0,f1^3*f3,f0^4,5.765475912262169e-05
e4_residual_1_over_16,22,1,f1^3*f3,f0^3*f1,-2.9164066343566963e-05
e4_residual_1_over_16,22,2,f1^3*f3,f0^3*f2,-3.0025329533967914e-05
e4_residual_1_over_16,22,3,f1^3*f3,f0^3*f3,2.0827171660635577e-06
e4_residual_1_over_16,22,4,f1^3*f3,f0^2*f1^2,5.6172505220094225e-05
e4_residual_1_over_16,22,5,f1^3*f3,f0^2*f1*f2,7.120311377994872e-06
e4_residual_1_over_16,22,6,f1^3*f3,f0^2*f1*f3,7.422098414096459e-06
e4_residual_1_over_16,22,7,f1^3*f3,f0^2*f2^2,-6.235737646959938e-05
e4_residual_1_over_16,22,8,f1^3*f3,f0^2*f2*f3,-4.078253090925102e-05
e4_residual_1_over_16,22,9,f1^3*f3,f0^2*f3^2,4.334830605569395e-05
e4_residual_1_over_16,22,10,f1^3*f3,f0*f1^3,-1.3049473075660185e-05
e4_residual_1_over_16,22,11,f1^3*f3,f0*f1^2*f2,3.5548527544301576e-06
e4_residual_1_over_16,22,12,f1^3*f3,f0*f1^2*f3,9.91401905102789e-06
e4_residual_1_over_16,22,13,f1^3*f3,f0*f1*f2^2,3.750813630501877e-05
e4_residual_1_over_16,22,14,f1^3*f3,f0*f1*f2*f3,4.285652457674618e-05
e4_residual_1_over_16,22,15,f1^3*f3,f0*f1*f3^2,-2.5832204266079856e-05
e4_residual_1_over_16,22,16,f1^3*f3,f0*f2^3,1.4096129686437121e-05
e4_residual_1_over_16,22,17,f1^3*f3,f0*f2^2*f3,2.244348850697729e-06
e4_residual_1_over_16,22,18,f1^3*f3,f0*f2*f3^2,1.4510356773691987e-05
e4_residual_1_over_16,22,19,f1^3*f3,f0*f3^3,-3.8023681308128083e-05
e4_residual_1_over_16,22,20,f1^3*f3,f1^4,-0.00010170295673180169
e4_residual_1_over_16,22,21,f1^3*f3,f1^3*f2,-0.00012879980600553987
e4_residual_1_over_16,22,22,f1^3*f3,f1^3*f3,0.00041036455323064964
e4_residual_1_over_16,23,0,f1^2*f2^2,f0^4,-4.689434782435182e-06
e4_residual_1_over_16,23,1,f1^2*f2^2,f0^3*f1,-1.8970045520237146e-05
e4_residual_1_over_16,23,2,f1^2*f2^2,f0^3*f2,-4.973359914479544e-05
e4_residual_1_over_16,23,3,f1^2*f2^2,f0^3*f3,8.72025564794609e-06
e4_residual_1_over_16,23,4,f1^2*f2^2,f0^2*f1^2,-3.259966360951792e-05
e4_residual_1_over_16,23,5,f1^2*f2^2,f0^2*f1*f2,0.0002067292296690001
e4_residual_1_over_16,23,6,f1^2*f2^2,f0^2*f1*f3,6.816796335082439e-05
e4_residual_1_over_16,23,7,f1^2*f2^2,f0^2*f2^2,0.00019986210093810787
e4_residual_1_over_16,23,8,f1^2*f2^2,f0^2*f2*f3,0.0004548933587371832
e4_residual_1_over_16,23,9,f1^2*f2^2,f0^2*f3^2,3.5551987351160655e-05
e4_residual_1_over_16,23,10,f1^2*f2^2,f0*f1^3,1.8841629472880184e-05
e4_residual_1_over_16,23,11,f1^2*f2^2,f0*f1^2*f2,6.38079919675112e-05
e4_residual_1_over_16,23,12,f1^2*f2^2,f0*f1^2*f3,-7.265933708753009e-05
e4_residual_1_over_16,23,13,f1^2*f2^2,f0*f1*f2^2,1.899994991229555e-05
e4_residual_1_over_16,23,14,f1^2*f2^2,f0*f1*f2*f3,5.493520176151888e-05
e4_residual_1_over_16,23,15,f1^2*f2^2,f0*f1*f3^2,5.269216255562984e-06
e4_residual_1_over_16,23,16,f1^2*f2^2,f0*f2^3,-1.2908392436787182e-05
e4_residual_1_over_16,23,17,f1^2*f2^2,f0*f2^2*f3,-2.7396047336733098e-05
e4_residual_1_over_16,23,18,f1^2*f2^2,f0*f2*f3^2,0.00011893261929278165
e4_residual_1_over_16,23,19,f1^2*f2^2,f0*f3^3,1.941079121511255e-05
e4_residual_1_over_16,23,20,f1^2*f2^2,f1^4,3.2407579193291425e-06
e4_residual_1_over_16,23,21,f1^2*f2^2,f1^3*f2,-4.251255425183225e-05
e4_residual_1_over_16,23,22,f1^2*f2^2,f1^3*f3,-5.0018826017935205e-05
e4_residual_1_over_16,23,23,f1^2*f2^2,f1^2*f2^2,0.0008902328786012737
e4_residual_1_over_16,24,0,f1^2*f2*f3,f0^4,1.4512296717317021e-05
