pair_id,six_a_coordinate,six_b_coordinate,source_coordinate_norm,source_edge_norm,response_edge_norm,face_flux_norm,positive_face_count,negative_face_count,zero_face_count,maximum_face_id,maximum_face_value,minimum_face_id,minimum_face_value,face_flux_sum,source_in_target_four_max_abs,source_is_coexact_max_abs,source_has_no_harmonic_part_max_abs,static_equation_max_abs,response_is_coexact_max_abs,response_divergence_max_abs,face_flux_zero_sum_max_abs,face_flux_reconstruction_max_abs,all_checks_pass
21,3,3,0.14842599046698726,0.14842599046698726,0.014842599046698735,0.0469364193842119,10,10,0,19,0.017505564774111415,18,-0.017992696361446257,0.0,1.3877787807814457e-17,3.642919299551295e-17,5.561957144850638e-17,6.418476861114186e-17,2.927345865710862e-18,8.239936510889834e-18,0.0,0.0,True
22,3,4,0.15713726275110274,0.1571372627511027,0.01571372627511027,0.04969116555778209,14,6,0,6,0.021216738411467265,1,-0.019064733920012587,3.469446951953614e-18,1.3877787807814457e-17,3.5344990823027445e-17,4.5102810375396984e-17,6.245004513516506e-17,2.6020852139652106e-18,9.025983085941824e-18,3.469446951953614e-18,0.0,True
23,3,5,0.12504940597886732,0.12504940597886732,0.012504940597886724,0.039544094294429795,8,12,0,16,0.011685513505126852,12,-0.012054579413617978,0.0,2.7755575615628914e-17,2.710505431213761e-17,3.2959746043559335e-17,5.377642775528102e-17,2.168404344971009e-18,7.37257477290143e-18,0.0,0.0,True
24,4,0,0.12478076594777593,0.12478076594777592,0.012478076594777595,0.03945914285753511,12,8,0,10,0.011931157184332058,13,-0.014273759149634373,1.3010426069826053e-18,3.469446951953614e-17,3.8163916471489756e-17,5.377642775528102e-17,5.0306980803327406e-17,2.8189256484623115e-18,4.336808689942018e-18,1.3010426069826053e-18,0.0,True
25,4,1,0.08170675522978274,0.08170675522978275,0.00817067552297827,0.02583794467479877,10,10,0,3,0.008709735685208986,14,-0.008611223680861516,-1.3010426069826053e-18,1.0408340855860843e-17,2.3418766925686896e-17,2.710505431213761e-17,3.642919299551295e-17,1.3010426069826053e-18,5.4752209710517974e-18,1.3010426069826053e-18,0.0,True
26,4,2,0.13912323948861116,0.1391232394886112,0.013912323948861108,0.043994631224509015,10,10,0,4,0.01654385360270462,5,-0.018675590958215263,-2.6020852139652106e-18,2.7755575615628914e-17,5.551115123125783e-17,5.377642775528102e-17,5.898059818321144e-17,1.6940658945086007e-18,7.589415207398531e-18,2.6020852139652106e-18,0.0,True
27,4,3,0.21683467720886251,0.21683467720886251,0.02168346772088623,0.06856914556874068,10,10,0,5,0.02440249784620471,4,-0.026863454469288804,-5.204170427930421e-18,4.163336342344337e-17,8.326672684688674e-17,7.28583859910259e-17,9.367506770274758e-17,3.469446951953614e-18,8.239936510889834e-18,5.204170427930421e-18,0.0,True
28,4,4,0.24257082259894908,0.24257082259894908,0.02425708225989491,0.07670762933133239,8,12,0,13,0.029238269941407203,14,-0.03199053323047278,0.0,4.85722573273506e-17,6.245004513516506e-17,7.762887554996212e-17,1.4137996329210978e-16,4.336808689942018e-18,1.2793585635328952e-17,0.0,0.0,True
29,4,5,0.13859031814512016,0.13859031814512016,0.013859031814512032,0.04382610669859423,10,10,0,13,0.01759136425006833,17,-0.015699734335810123,-7.806255641895632e-18,2.7755575615628914e-17,3.8163916471489756e-17,5.2909066017292616e-17,7.112366251504909e-17,2.8189256484623115e-18,4.0115480381963664e-18,7.806255641895632e-18,0.0,True
30,5,0,0.10787896780732487,0.10787896780732488,0.010787896780732489,0.03411432498991273,10,10,0,18,0.011568945609253499,4,-0.012237146199360185,5.204170427930421e-18,1.3877787807814457e-17,3.252606517456513e-17,2.916503843986007e-17,4.683753385137379e-17,1.8431436932253575e-18,4.336808689942018e-18,5.204170427930421e-18,0.0,True
31,5,1,0.18865313520868596,0.18865313520868593,0.0188653135208686,0.05965735949911524,8,12,0,18,0.02360762337802035,14,-0.01893778056657532,6.938893903907228e-18,4.163336342344337e-17,5.898059818321144e-17,7.32920668600201e-17,1.1102230246251565e-16,3.469446951953614e-18,1.1709383462843448e-17,6.938893903907228e-18,0.0,True
32,5,2,0.19148074565592801,0.19148074565592801,0.019148074565592792,0.06055152843401244,8,12,0,10,0.02241258560936279,15,-0.018254335324439715,-7.806255641895632e-18,4.163336342344337e-17,6.245004513516506e-17,7.112366251504909e-17,7.979727989493313e-17,3.0357660829594124e-18,4.7704895589362195e-18,7.806255641895632e-18,0.0,True
33,5,3,0.21973112803764608,0.21973112803764608,0.021973112803764606,0.0694850837437046,10,10,0,4,0.023492986963121274,8,-0.0296007883905465,1.734723475976807e-18,5.551115123125783e-17,5.204170427930421e-17,7.45931094670027e-17,1.1102230246251565e-16,3.903127820947816e-18,1.3227266504323154e-17,1.734723475976807e-18,0.0,True
34,5,4,0.08387244679902907,0.08387244679902908,0.00838724467990292,0.026522796481623086,12,8,0,16,0.0076944563809897455,17,-0.008934901275551273,1.3010426069826053e-18,2.7755575615628914e-17,2.6020852139652106e-17,2.2985086056692694e-17,3.9898639947466563e-17,1.734723475976807e-18,2.927345865710862e-18,1.3010426069826053e-18,0.0,True
35,5,5,0.16570322154298497,0.16570322154298503,0.016570322154298527,0.0523999595703314,10,10,0,3,0.017940139480826647,17,-0.018903314484418,1.734723475976807e-18,2.7755575615628914e-17,5.551115123125783e-17,6.331740687315346e-17,8.847089727481716e-17,3.469446951953614e-18,7.15573433840433e-18,1.734723475976807e-18,0.0,True
