coefficient_id,monomial,target_exact,candidate_exact,exact_match,target_float,candidate_float
18,f0^5*f2*f3^2,28851609/810344147771,28851609/810344147771,True,3.56041431031021e-05,3.56041431031021e-05
19,f0^5*f3^3,5290480/562009726223,5290480/562009726223,True,9.413502566147385e-06,9.413502566147385e-06
20,f0^4*f1^4,336827632/516395482489,336827632/516395482489,True,0.0006522668060078836,0.0006522668060078836
21,f0^4*f1^3*f2,298967434/320778323385,298967434/320778323385,True,0.0009320063489488894,0.0009320063489488894
22,f0^4*f1^3*f3,393774446/605449989201,393774446/605449989201,True,0.0006503831084705379,0.0006503831084705379
23,f0^4*f1^2*f2^2,891115107/335609022763,891115107/335609022763,True,0.0026552179666197075,0.0026552179666197075
24,f0^4*f1^2*f2*f3,1343138424/942885509827,1343138424/942885509827,True,0.0014244978950269775,0.0014244978950269775
25,f0^4*f1^2*f3^2,2048456621/908305485837,2048456621/908305485837,True,0.002255250742113877,0.002255250742113877
26,f0^4*f1*f2^3,459478628/469988538639,459478628/469988538639,True,0.000977637942683805,0.000977637942683805
27,f0^4*f1*f2^2*f3,271770877/991484617170,271770877/991484617170,True,0.0002741049858904691,0.0002741049858904691
28,f0^4*f1*f2*f3^2,352361819/773120747719,352361819/773120747719,True,0.00045576557095331003,0.00045576557095331003
29,f0^4*f1*f3^3,638663412/484748062049,638663412/484748062049,True,0.0013175161738665016,0.0013175161738665016
30,f0^4*f2^4,1004263442/819082242593,1004263442/819082242593,True,0.0012260837676333512,0.0012260837676333512
31,f0^4*f2^3*f3,1516720658/888446430261,1516720658/888446430261,True,0.0017071605066322694,0.0017071605066322694
32,f0^4*f2^2*f3^2,2741842431/973484862997,2741842431/973484862997,True,0.002816522922152976,0.002816522922152976
33,f0^4*f2*f3^3,1088136506/769285211929,1088136506/769285211929,True,0.0014144773474476042,0.0014144773474476042
34,f0^4*f3^4,817204283/656847050319,817204283/656847050319,True,0.0012441317694935556,0.0012441317694935556
35,f0^3*f1^5,-4650115/842035602051,-4650115/842035602051,True,-5.52246839524768e-06,-5.52246839524768e-06
36,f0^3*f1^4*f2,-3059500/476050597263,-3059500/476050597263,True,-6.426837856291443e-06,-6.426837856291443e-06
37,f0^3*f1^4*f3,-68810726/650091783879,-68810726/650091783879,True,-0.00010584770905643006,-0.00010584770905643006
38,f0^3*f1^3*f2^2,21511405/776977862313,21511405/776977862313,True,2.7685994728295468e-05,2.7685994728295468e-05
39,f0^3*f1^3*f2*f3,442291117/906615747441,442291117/906615747441,True,0.00048784848294153755,0.00048784848294153755
40,f0^3*f1^3*f3^2,-59046487/793406484890,-59046487/793406484890,True,-7.442148271347488e-05,-7.442148271347488e-05
41,f0^3*f1^2*f2^3,-11861268/90881793607,-11861268/90881793607,True,-0.00013051313722186935,-0.00013051313722186935
42,f0^3*f1^2*f2^2*f3,-5253867/788198893841,-5253867/788198893841,True,-6.6656614733334556e-06,-6.6656614733334556e-06
43,f0^3*f1^2*f2*f3^2,291458667/988686636577,291458667/988686636577,True,0.0002947937761241308,0.0002947937761241308
44,f0^3*f1^2*f3^3,-44523196/414149926025,-44523196/414149926025,True,-0.00010750501980606988,-0.00010750501980606988
45,f0^3*f1*f2^4,29607766/723600917061,29607766/723600917061,True,4.091725881202006e-05,4.091725881202006e-05
46,f0^3*f1*f2^3*f3,383027073/731151514292,383027073/731151514292,True,0.0005238682619304957,0.0005238682619304957
47,f0^3*f1*f2^2*f3^2,481261/4345335237,481261/4345335237,True,0.00011075348016929079,0.00011075348016929079
48,f0^3*f1*f2*f3^3,410385095/955404017174,410385095/955404017174,True,0.00042954089330070284,0.00042954089330070284
49,f0^3*f1*f3^4,-13168238/341215255197,-13168238/341215255197,True,-3.8592172534599433e-05,-3.8592172534599433e-05
50,f0^3*f2^5,-91174884/890926805009,-91174884/890926805009,True,-0.00010233712072349082,-0.00010233712072349082
51,f0^3*f2^4*f3,-18141193/784083891370,-18141193/784083891370,True,-2.313680104854926e-05,-2.313680104854926e-05
52,f0^3*f2^3*f3^2,215851099/841412440187,215851099/841412440187,True,0.0002565342377776446,0.0002565342377776446
53,f0^3*f2^2*f3^3,27645684/438737295631,27645684/438737295631,True,6.301193054545197e-05,6.301193054545197e-05
54,f0^3*f2*f3^4,219614803/620340341591,219614803/620340341591,True,0.00035402308745026846,0.00035402308745026846
