probe_id,flux_norm,flux_norm_squared,direct_gap,base_quadratic_value,gram_quadratic_value,weighted_minor_value,maximum_minor_value_abs,identity_residual
95,0.21293952437834598,0.0453432410424762,0.06576787006863491,0.06576787006863488,0.06576787006863488,-1.7127976401751698e-20,1.3877787807814457e-17,2.7755575615628914e-17
96,0.11275516366681004,0.01271372693352912,0.09839738417758198,0.09839738417758198,0.09839738417758201,-1.2426083298109048e-18,1.3877787807814457e-17,2.7755575615628914e-17
97,0.09706734161544744,0.009422068808289975,0.10168904230282114,0.10168904230282115,0.10168904230282116,-4.724884113056421e-20,1.3877787807814457e-17,2.7755575615628914e-17
98,0.15069255124795988,0.022708245001619012,0.08840286610949209,0.08840286610949202,0.08840286610949202,4.489420974259925e-19,6.938893903907228e-18,6.938893903907228e-17
99,0.13008926136778384,0.01692321592321558,0.09418789518789553,0.09418789518789553,0.09418789518789553,-6.781658473760907e-20,2.7755575615628914e-17,0.0
100,0.10041144526557609,0.010082458340321784,0.10102865277078932,0.10102865277078936,0.10102865277078933,-1.0235965485410126e-18,6.938893903907228e-18,1.3877787807814457e-17
101,0.21597428067784652,0.04664488991431323,0.06446622119679787,0.06446622119679787,0.06446622119679787,8.230295160335729e-20,1.3877787807814457e-17,0.0
102,0.12812574384720984,0.01641620623640083,0.09469490487471027,0.09469490487471027,0.09469490487471027,2.9099949741338326e-18,1.3877787807814457e-17,0.0
103,0.08324572620421461,0.006929850931267063,0.10418126017984404,0.10418126017984403,0.10418126017984404,2.8886942144107664e-18,1.3877787807814457e-17,0.0
104,0.21855544487895082,0.047766482486236106,0.063344628624875,0.06334462862487497,0.063344628624875,2.7248110602385076e-18,1.3877787807814457e-17,0.0
105,0.20791523309517343,0.0432287441530203,0.0678823669580908,0.0678823669580908,0.06788236695809081,-7.2439341207034255e-19,1.3877787807814457e-17,1.3877787807814457e-17
