actual_index,orientation_type,character,rounded_character,representation_is_identity,orthogonality_max_abs,subspace_leakage_max_abs
70,reversing,1.1102230246251565e-16,0,False,1.9663191611012565e-16,1.4432899320127035e-15
71,reversing,2.220446049250313e-16,0,False,3.3421826098848093e-16,1.3357370765021415e-15
72,reversing,0.9999999999999997,1,False,7.771561172376096e-16,1.2177758801357186e-15
73,preserving,0.0,0,False,5.551115123125783e-16,1.1657341758564144e-15
74,reversing,0.9999999999999998,1,False,8.881784197001252e-16,1.1657341758564144e-15
75,reversing,-2.0000000000000004,-2,False,4.440892098500626e-16,8.326672684688674e-16
76,reversing,1.0000000000000002,1,False,2.220446049250313e-16,1.3322676295501878e-15
77,preserving,-0.9999999999999999,-1,False,7.771561172376096e-16,1.3322676295501878e-15
78,preserving,-0.9999999999999999,-1,False,8.881784197001252e-16,1.1102230246251565e-15
79,preserving,1.0000000000000002,1,False,3.443953402548514e-16,1.3322676295501878e-15
80,preserving,3.885780586188048e-16,0,False,6.661338147750939e-16,1.6653345369377348e-15
81,reversing,4.440892098500626e-16,0,False,6.661338147750939e-16,1.3183898417423734e-15
82,preserving,0.9999999999999999,1,False,8.881784197001252e-16,1.3808398868775384e-15
83,reversing,0.9999999999999999,1,False,8.881784197001252e-16,1.1102230246251565e-15
84,preserving,-1.0000000000000004,-1,False,4.440892098500626e-16,1.1657341758564144e-15
85,preserving,-0.9999999999999997,-1,False,7.771561172376096e-16,1.2212453270876722e-15
86,reversing,2.220446049250313e-16,0,False,3.3306690738754696e-16,1.2212453270876722e-15
87,reversing,-5.551115123125783e-16,0,False,7.771561172376096e-16,1.2212453270876722e-15
88,preserving,1.9999999999999987,2,False,8.881784197001252e-16,1.3322676295501878e-15
89,reversing,-0.9999999999999998,-1,False,4.440892098500626e-16,1.3877787807814457e-15
90,reversing,-0.9999999999999996,-1,False,6.661338147750939e-16,1.2351231148954867e-15
91,preserving,1.0,1,False,4.440892098500626e-16,1.0269562977782698e-15
92,preserving,1.0,1,False,6.661338147750939e-16,1.4988010832439613e-15
93,reversing,-2.0000000000000004,-2,False,4.440892098500626e-16,1.3322676295501878e-15
94,preserving,-5.551115123125783e-17,0,False,2.220446049250313e-16,1.2212453270876722e-15
95,reversing,5.551115123125783e-17,0,False,3.058336860600226e-16,1.2385925618474403e-15
96,reversing,-3.885780586188048e-16,0,False,6.661338147750939e-16,1.3357370765021415e-15
97,preserving,-0.9999999999999998,-1,False,6.661338147750939e-16,1.7208456881689926e-15
98,reversing,1.0,1,False,2.3779691218300734e-16,1.3322676295501878e-15
99,reversing,-5.551115123125783e-17,0,False,5.730279090033134e-16,1.3322676295501878e-15
100,preserving,1.6653345369377348e-16,0,False,8.881784197001252e-16,1.466752923717072e-15
101,reversing,2.220446049250313e-16,0,False,6.661338147750939e-16,1.2975731600306517e-15
102,preserving,-0.9999999999999997,-1,False,3.1883738424414774e-16,1.582067810090848e-15
103,preserving,0.9999999999999996,1,False,8.881784197001252e-16,1.4363510381087963e-15
104,reversing,-0.9999999999999998,-1,False,3.25992069131067e-16,1.0512424264419451e-15
105,preserving,-2.220446049250313e-16,0,False,4.440892098500626e-16,1.6792123247455493e-15
106,reversing,0.9999999999999999,1,False,4.440892098500626e-16,1.2732870313669764e-15
107,reversing,1.0000000000000007,1,False,6.661338147750939e-16,1.2212453270876722e-15
108,preserving,-3.885780586188048e-16,0,False,6.661338147750939e-16,1.3877787807814457e-15
109,reversing,-3.3306690738754696e-16,0,False,4.440892098500626e-16,1.3322676295501878e-15
110,preserving,2.7755575615628914e-17,0,False,6.661338147750939e-16,1.3322676295501878e-15
111,preserving,-1.0,-1,False,8.881784197001252e-16,1.2212453270876722e-15
112,reversing,1.0,1,False,5.551115123125783e-16,1.3877787807814457e-15
113,preserving,4.440892098500626e-16,0,False,5.551115123125783e-16,1.3877787807814457e-15
114,preserving,-0.9999999999999999,-1,False,5.551115123125783e-16,1.1102230246251565e-15
115,reversing,1.0000000000000002,1,False,4.440892098500626e-16,1.5543122344752192e-15
116,reversing,-6.106226635438361e-16,0,False,6.661338147750939e-16,1.2212453270876722e-15
117,preserving,-1.3877787807814457e-16,0,False,4.440892098500626e-16,1.27675647831893e-15
118,preserving,1.3877787807814457e-16,0,False,4.440892098500626e-16,1.3877787807814457e-15
119,reversing,-1.0000000000000002,-1,False,7.771561172376096e-16,1.27675647831893e-15
120,reversing,2.220446049250313e-16,0,False,3.3421826098848093e-16,1.3357370765021415e-15
121,preserving,1.9999999999999993,2,False,6.661338147750939e-16,1.4432899320127035e-15
122,preserving,-3.885780586188048e-16,0,False,8.881784197001252e-16,1.3322676295501878e-15
123,reversing,1.1102230246251565e-16,0,False,1.9663191611012565e-16,1.4432899320127035e-15
124,reversing,-4.0,-4,False,8.881784197001252e-16,1.8665624601510444e-15
125,reversing,2.220446049250313e-16,0,False,4.440892098500626e-16,1.3877787807814457e-15
126,preserving,2.0,2,False,3.3306690738754696e-16,1.1102230246251565e-15
127,preserving,-1.1102230246251565e-16,0,False,3.3306690738754696e-16,1.2212453270876722e-15
128,reversing,1.0000000000000004,1,False,6.661338147750939e-16,1.2455314557513475e-15
129,preserving,-0.9999999999999999,-1,False,7.771561172376096e-16,1.321859288694327e-15
130,preserving,-2.220446049250313e-16,0,False,5.551115123125783e-16,8.743006318923108e-16
131,reversing,0.9999999999999997,1,False,7.771561172376096e-16,1.0269562977782698e-15
132,preserving,1.0,1,False,4.440892098500626e-16,1.4432899320127035e-15
133,preserving,-1.0,-1,False,4.440892098500626e-16,1.5543122344752192e-15
134,reversing,0.9999999999999998,1,False,6.661338147750939e-16,1.3322676295501878e-15
135,reversing,-2.0,-2,False,5.551115123125783e-16,1.1275702593849246e-15
136,reversing,-0.9999999999999996,-1,False,6.661338147750939e-16,1.27675647831893e-15
137,preserving,-1.0000000000000004,-1,False,2.240495174476421e-16,1.27675647831893e-15
138,preserving,6.106226635438361e-16,0,False,8.881784197001252e-16,1.3877787807814457e-15
139,preserving,-2.7755575615628914e-16,0,False,7.771561172376096e-16,1.1102230246251565e-15
140,preserving,0.0,0,False,4.440892098500626e-16,1.1102230246251565e-15
141,reversing,0.9999999999999997,1,False,6.661338147750939e-16,1.2490009027033011e-15
142,reversing,-2.7755575615628914e-16,0,False,6.661338147750939e-16,1.5543122344752192e-15
143,reversing,0.9999999999999998,1,False,7.771561172376096e-16,1.3322676295501878e-15
144,reversing,0.9999999999999998,1,False,4.764327074014719e-16,1.1657341758564144e-15
145,reversing,-1.0000000000000004,-1,False,6.661338147750939e-16,1.4988010832439613e-15
146,preserving,-1.0,-1,False,4.440892098500626e-16,1.2212453270876722e-15
147,preserving,-4.440892098500626e-16,0,False,8.881784197001252e-16,1.1663161437287446e-15
148,preserving,1.3877787807814457e-17,0,False,4.440892098500626e-16,1.4432899320127035e-15
149,preserving,5.551115123125783e-16,0,False,5.551115123125783e-16,1.2212453270876722e-15
150,reversing,2.220446049250313e-16,0,False,7.771561172376096e-16,1.27675647831893e-15
151,reversing,1.0,1,False,4.440892098500626e-16,1.7069679003611782e-15
152,preserving,-3.3306690738754696e-16,0,False,4.440892098500626e-16,1.4467593789646571e-15
153,reversing,1.0000000000000002,1,False,4.440892098500626e-16,1.2004286453759505e-15
154,preserving,1.0000000000000002,1,False,4.440892098500626e-16,1.5230872119076366e-15
155,reversing,1.0000000000000004,1,False,6.661338147750939e-16,1.27675647831893e-15
156,reversing,1.0000000000000002,1,False,4.440892098500626e-16,1.3877787807814457e-15
157,preserving,-1.0000000000000002,-1,False,4.440892098500626e-16,1.2906342661267445e-15
158,reversing,-1.9999999999999998,-2,False,6.661338147750939e-16,1.8283985436795547e-15
159,preserving,-1.0000000000000002,-1,False,6.661338147750939e-16,1.3322676295501878e-15
160,preserving,-1.0000000000000009,-1,False,6.661338147750939e-16,1.6237011735142914e-15
161,reversing,-1.3877787807814457e-16,0,False,6.661338147750939e-16,1.3322676295501878e-15
162,reversing,9.71445146547012e-16,0,False,9.992007221626409e-16,1.942890293094024e-15
163,preserving,1.0000000000000004,1,False,6.661338147750939e-16,1.3322676295501878e-15
164,reversing,1.0,1,False,3.3306690738754696e-16,1.3877787807814457e-15
165,preserving,-1.0000000000000002,-1,False,3.151406589669156e-16,1.1102230246251565e-15
166,preserving,-3.5388358909926865e-16,0,False,4.007200816726684e-16,1.3704315460216776e-15
167,reversing,0.0,0,False,4.440892098500626e-16,1.5334955527634975e-15
168,preserving,8.049116928532385e-16,0,False,9.992007221626409e-16,1.2212453270876722e-15
169,reversing,-1.0000000000000002,-1,False,6.661338147750939e-16,1.2385925618474403e-15
170,reversing,0.9999999999999998,1,False,6.661338147750939e-16,1.2490009027033011e-15
171,preserving,-1.0000000000000002,-1,False,8.881784197001252e-16,1.2212453270876722e-15
172,preserving,1.5092094240998222e-16,0,False,4.911148357334518e-16,1.2212453270876722e-15
173,reversing,3.191891195797325e-16,0,False,4.440892098500626e-16,9.8879238130678e-16
174,preserving,-1.1102230246251565e-16,0,False,4.440892098500626e-16,1.3877787807814457e-15
175,reversing,1.0,1,False,2.7368984990073565e-16,1.1657341758564144e-15
176,preserving,-0.9999999999999999,-1,False,4.440892098500626e-16,1.3877787807814457e-15
177,reversing,-0.9999999999999998,-1,False,3.3306690738754696e-16,1.1102230246251565e-15
178,preserving,0.0,0,False,5.551115123125783e-16,1.27675647831893e-15
179,reversing,0.9999999999999998,1,False,6.661338147750939e-16,1.2212453270876722e-15
180,reversing,2.498001805406602e-16,0,False,4.440892098500626e-16,1.4988010832439613e-15
181,preserving,5.551115123125783e-17,0,False,5.551115123125783e-16,1.0547118733938987e-15
182,reversing,0.9999999999999997,1,False,4.683541788191158e-16,1.1969591984239969e-15
183,preserving,0.0,0,False,4.440892098500626e-16,1.27675647831893e-15
184,preserving,1.0000000000000004,1,False,8.881784197001252e-16,1.2836953722228372e-15
185,reversing,2.220446049250313e-16,0,False,8.881784197001252e-16,1.3322676295501878e-15
186,preserving,-0.9999999999999998,-1,False,4.440892098500626e-16,1.5890067039947553e-15
187,reversing,0.9999999999999999,1,False,4.3970226190735337e-16,1.2212453270876722e-15
188,reversing,-6.38378239159465e-16,0,False,6.661338147750939e-16,1.5265566588595902e-15
189,preserving,-1.0,-1,False,4.440892098500626e-16,1.4988010832439613e-15
190,reversing,8.326672684688674e-17,0,False,5.551115123125783e-16,1.3877787807814457e-15
191,preserving,-3.608224830031759e-16,0,False,5.551115123125783e-16,1.3010426069826053e-15
192,reversing,2.220446049250313e-16,0,False,4.440892098500626e-16,1.1657341758564144e-15
193,preserving,0.9999999999999996,1,False,4.440892098500626e-16,1.5681900222830336e-15
194,reversing,-1.0,-1,False,6.661338147750939e-16,1.609823385706477e-15
195,preserving,0.9999999999999993,1,False,4.440892098500626e-16,1.3426759704060487e-15
196,reversing,-1.0000000000000004,-1,False,4.440892098500626e-16,1.1657341758564144e-15
197,reversing,-1.9999999999999987,-2,False,9.992007221626409e-16,1.904726376622534e-15
198,preserving,2.000000000000001,2,False,8.881784197001252e-16,1.4988010832439613e-15
199,preserving,-1.6653345369377348e-16,0,False,2.688470553474869e-16,1.1657341758564144e-15
