coefficient_id,f0_power,f1_power,f2_power,f3_power,determinant_coefficient,candidate_coefficient,residual,coefficient_pass
206,3,1,3,5,1.9424640161447308e-06,2.0085513835263264e-06,-6.608736738159566e-08,False
207,3,1,2,6,-5.224423469272867e-07,-5.23708551503009e-07,1.2662045757222642e-09,False
208,3,1,1,7,1.619581600476617e-06,1.6300114967860024e-06,-1.042989630938531e-08,False
209,3,1,0,8,9.186624234167372e-08,9.155243113219334e-08,3.1381120948038126e-10,True
210,3,0,9,0,0.0,-3.7575890696241405e-09,3.7575890696241405e-09,False
211,3,0,8,1,-1.5338824534503806e-08,-1.6694949240639385e-08,1.3561247061355798e-09,False
212,3,0,7,2,7.958200090961028e-08,1.0166945074530911e-07,-2.208744983569883e-08,False
213,3,0,6,3,1.3007239884067773e-06,1.278597328232236e-06,2.2126660174541205e-08,False
214,3,0,5,4,1.0397357633111766e-06,1.110823899503346e-06,-7.108813619216933e-08,False
215,3,0,4,5,1.8270210425792093e-06,1.7962752589444448e-06,3.0745783634764515e-08,False
216,3,0,3,6,1.4167955964219762e-06,1.4904456269281777e-06,-7.365003050620153e-08,False
217,3,0,2,7,6.302010852318122e-07,6.216241714880134e-07,8.576913743798808e-09,False
218,3,0,1,8,4.673124633961643e-07,4.957193966155193e-07,-2.8406933219354977e-08,False
219,3,0,0,9,2.129463312019347e-08,2.2692967542745483e-08,-1.3983344225520117e-09,False
220,2,10,0,0,-1.812625619484215e-08,-6.661821199866203e-08,4.849195580381988e-08,False
221,2,9,1,0,1.855337639784566e-07,1.9607704070694868e-07,-1.0543276728492075e-08,False
222,2,9,0,1,1.6831715279000723e-07,1.453275744405561e-07,2.298957834945112e-08,False
223,2,8,2,0,-1.0538599799273286e-07,-2.5134232011431157e-07,1.459563221215787e-07,False
224,2,8,1,1,-6.293602225360188e-07,-6.224706253701899e-07,-6.889597165828985e-09,False
225,2,8,0,2,-3.8838221917226606e-07,-5.729228247505439e-07,1.8454060557827782e-07,False
226,2,7,3,0,1.8230269172018402e-06,1.8535387066990657e-06,-3.051178949722555e-08,False
227,2,7,2,1,-1.2993867841825971e-06,-1.4114870409663214e-06,1.1210025678372426e-07,False
228,2,7,1,2,-5.9410106222924865e-08,-5.842748373968517e-08,-9.826224832396962e-10,False
229,2,7,0,3,1.3110046730078474e-07,1.261383180862346e-07,4.962149214550136e-09,False
230,2,6,4,0,2.638062128324997e-06,2.405016385189723e-06,2.3304574313527386e-07,False
231,2,6,3,1,-4.179110781640432e-07,-3.7353897134236936e-07,-4.437210682167382e-08,False
232,2,6,2,2,2.186995343586267e-06,1.7127513474973614e-06,4.742439960889054e-07,False
233,2,6,1,3,5.814115859062527e-07,5.751762277115367e-07,6.2353581947160175e-09,False
234,2,6,0,4,-1.2217195032800628e-07,-4.356130638226225e-07,3.134411134946162e-07,False
235,2,5,5,0,3.3737869698954767e-06,3.4181035250590576e-06,-4.431655516358087e-08,False
236,2,5,4,1,-4.13751837901699e-06,-4.315867138433718e-06,1.783487594167275e-07,False
237,2,5,3,2,-1.022733984605144e-06,-9.888018502924825e-07,-3.3932134312661565e-08,False
238,2,5,2,3,-3.039854841397679e-07,-4.1557642020420514e-07,1.1159093606443725e-07,False
239,2,5,1,4,-2.899268476533603e-06,-2.9459742047659773e-06,4.6705728232374106e-08,False
240,2,5,0,5,2.0081665629237963e-06,2.093647210460883e-06,-8.548064753708672e-08,False
241,2,4,6,0,3.7882715109321953e-06,3.5516411601915877e-06,2.3663035074060767e-07,False
242,2,4,5,1,1.5987575133121043e-06,1.6800330807401668e-06,-8.127556742806246e-08,False
243,2,4,4,2,5.3022796190033914e-06,4.6778490650358e-06,6.244305539675917e-07,False
244,2,4,3,3,3.86297610062995e-06,3.893253992818722e-06,-3.027789218877252e-08,False
245,2,4,2,4,3.23417512591012e-06,2.5808181766828244e-06,6.533569492272958e-07,False
246,2,4,1,5,4.6737479382488e-07,4.648630950360109e-07,2.5116987888691065e-09,False
247,2,4,0,6,1.9819382012804547e-06,1.660185190684753e-06,3.217530105957018e-07,False
248,2,3,7,0,1.6843721483329503e-06,1.7277679441971539e-06,-4.339579586420355e-08,False
249,2,3,6,1,-4.973425330977753e-06,-5.111650642227821e-06,1.382253112500685e-07,False
250,2,3,5,2,-2.2284116374953143e-06,-2.1520380244183476e-06,-7.637361307696662e-08,False
251,2,3,4,3,-7.419311886980916e-06,-7.547334962495452e-06,1.280230755145355e-07,False
252,2,3,3,4,-6.0277954395400565e-06,-6.07412783657648e-06,4.6332397036423666e-08,False
253,2,3,2,5,1.2779232876354727e-06,1.3549382505812888e-06,-7.701496294581618e-08,False
254,2,3,1,6,-2.312503390844679e-06,-2.3821194025209976e-06,6.961601167631843e-08,False
255,2,3,0,7,2.5670984856418594e-06,2.6850014903551997e-06,-1.1790300471334029e-07,False
256,2,2,8,0,8.143148770656606e-07,6.694462269333931e-07,1.4486865013226745e-07,False
257,2,2,7,1,1.561298962788606e-06,1.6382257682264095e-06,-7.692680543780358e-08,False
258,2,2,6,2,4.283896773708493e-06,3.804213851101103e-06,4.796829226073899e-07,False
