start_id,sigma,target_gap,success,iteration_count,evaluation_count,tangent_stationarity_residual,f0,f1,f2,f3
94,0.33333333333333337,-5.551115123125783e-17,True,11,12,3.0149974497993683e-10,-1.8622704221128364e-11,-1.2400214595583864e-09,1.0,-2.3969144741870803e-09
95,0.33333333333333376,-4.440892098500626e-16,True,13,18,2.939836673453731e-12,0.693492970037638,0.39524144581789056,0.16666666666552232,-0.5788557007050745
96,0.3333333333333334,-1.1102230246251565e-16,True,10,12,5.4927147462252e-10,-0.6067842098322825,-0.2002059057365486,0.6666666669887689,-0.3837786772770301
97,0.3333333333333331,2.220446049250313e-16,True,12,16,2.6321718796853255e-10,0.5912289237630195,-0.3615200151430868,-0.16666666550942416,0.7014084836704884
98,0.3333333333333333,0.0,True,10,11,2.374558153481533e-10,-0.05559819232629465,0.9284162967652785,0.16666666555826656,0.32737477529947806
99,0.33333333333333387,-5.551115123125783e-16,True,15,21,1.702030637563712e-11,0.6934929700843488,0.39524144583367615,0.16666666661821364,-0.5788557006519561
100,0.3333333333333329,3.885780586188048e-16,True,15,18,3.6784046521112746e-11,-0.6623824016385096,0.7282103925425428,-0.16666666656823959,-0.05640390454274631
101,0.33333333333333326,5.551115123125783e-17,True,8,12,6.07874112842938e-11,0.6779376857955584,-0.16648447368591235,0.6666666665693317,-0.2612258981897148
102,0.3333333333333334,-1.1102230246251565e-16,True,14,39,1.2652226341948672e-09,-0.07115347429709516,0.36669038303063856,0.6666666612891153,0.645004580459643
103,0.33333333333333337,-5.551115123125783e-17,True,11,16,1.39538195743349e-09,-0.6067842142544854,-0.2002059109272231,0.6666666587752994,-0.3837786818450785
104,0.33333333333333337,-5.551115123125783e-17,True,9,13,9.638130992328239e-10,-0.6067842073967461,-0.20020590411311823,0.6666666668468612,-0.38377868222120914
105,0.3333333333333333,0.0,True,14,17,2.679304425934999e-12,0.6779376857923729,-0.16648447340431985,0.6666666666582273,-0.2612258981505781
106,0.3333333333333334,-1.1102230246251565e-16,True,11,37,1.1344694276072112e-09,-0.07115347421029204,0.3666903825675371,0.6666666695507066,0.6450045721934439
107,0.3333333333333331,2.220446049250313e-16,True,8,11,4.787133159856739e-10,0.5912289229036959,-0.3615200153640575,-0.16666666707920905,0.7014084839079261
108,0.3333333333333332,1.1102230246251565e-16,True,9,11,1.3144963945890427e-10,0.6779376861207241,-0.16648447353718113,0.6666666664374437,-0.2612258977772153
109,0.33333333333333287,4.440892098500626e-16,True,14,15,1.1089726455907143e-10,-0.6623824016291702,0.7282103924217247,-0.16666666706952601,-0.05640390473102211
110,0.33333333333333287,4.440892098500626e-16,True,10,21,2.67061900752691e-10,-0.662382401643182,0.7282103922796916,-0.16666666744866201,-0.05640390527991023
111,0.3333333333333331,2.220446049250313e-16,True,10,49,2.752588399205486e-10,-0.08670875931504239,-0.19503554287749264,0.16666666640954805,0.9626343804271985
112,0.33333333333333304,2.7755575615628914e-16,True,12,24,1.1646910692614073e-10,-0.6623824021053728,0.7282103920030606,-0.16666666698972607,-0.05640390477972946
113,0.33333333333333326,5.551115123125783e-17,True,13,15,3.1316021141804914e-12,0.6779376858003865,-0.1664844734133394,0.6666666666545714,-0.261225898133363
114,0.33333333333333326,5.551115123125783e-17,True,10,12,3.31279894123686e-11,0.677937685684774,-0.16648447323232743,0.6666666668255841,-0.2612258981123291
115,0.33333333333333376,-4.440892098500626e-16,True,10,12,4.7398759742258406e-11,0.6223394936050607,0.7619318229610461,-0.16666666696024712,0.06614887741311827
116,0.33333333333333326,5.551115123125783e-17,True,10,11,1.5993540125602235e-11,0.6779376858233158,-0.16648447337994549,0.6666666666073453,-0.2612258982156633
117,0.33333333333333354,-2.220446049250313e-16,True,12,23,8.907826057188967e-10,-0.055598191746404506,0.9284162979544542,0.16666666600034455,0.3273747718004636
118,0.33333333333333337,-5.551115123125783e-17,True,11,16,1.8314013963533585e-10,-0.05559819233744194,0.928416296620391,0.16666666598790822,0.32737477548974636
119,0.33333333333333337,-5.551115123125783e-17,True,10,11,6.997223260707659e-11,-0.05559819254268367,0.9284162965645686,0.16666666643041098,0.3273747753879212
120,0.333333333333334,-6.661338147750939e-16,True,10,11,6.28760967317496e-11,0.6223394933641356,0.7619318233467675,-0.1666666663074516,0.06614887688163744
121,0.33333333333333337,-5.551115123125783e-17,True,12,18,3.706835216258239e-10,-9.510966046551834e-10,9.143258899034054e-10,1.0,-5.900299622490941e-10
122,0.3333333333333333,0.0,True,10,18,1.7739114188806361e-10,-0.05559819382028358,0.9284162966016759,0.16666666657967505,0.32737477498972095
123,0.33333333333333337,-5.551115123125783e-17,True,9,13,3.112908063735811e-10,-0.6067842090995791,-0.2002059063482904,0.6666666666865331,-0.38377867864138165
124,0.3333333333333334,-1.1102230246251565e-16,True,11,12,2.603618456709426e-11,5.243804534242154e-11,-5.805154784395641e-11,1.0,5.3827955258997816e-11
