start_id,root_pass,residual_norm,residual_max_abs,norm_residual,axis_distance,nearest_axis_id,success,status,function_evaluations,f0,f1,f2,f3
97,True,2.8081348912541524e-16,2.220446049250313e-16,0.0,0.8420246737858658,3,True,1,8,0.9951413007735664,0.02612050775876907,5.441302978554165e-16,0.09492897644617403
98,True,1.0049018679594634e-15,7.216449660063518e-16,2.4424906541753444e-15,0.41744238123296007,3,True,1,8,0.3104169949195565,0.9258417951924125,1.3689986309727178e-15,0.21554178142532623
99,True,1.3627129270683695e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.41744238123296085,8,True,1,7,-0.39325416709623534,0.9073718070281522,3.4728779737811757e-15,0.1484168584491401
100,True,2.2045031285512882e-17,1.6568912423508092e-17,0.0,0.0,9,True,1,8,-9.525329340447691e-16,-2.5249228567002e-15,1.0,1.8046779472337436e-15
101,True,3.1676639673831405e-16,2.220446049250313e-16,2.220446049250313e-16,0.4174423812329595,8,True,1,8,-0.06942474824732059,0.7093591396508176,0.45643546458763873,0.5325941062303586
102,True,7.153457808806092e-16,6.661338147750939e-16,2.220446049250313e-16,0.0,8,True,1,8,-0.05559819231018904,0.9284162965471431,0.16666666666666996,0.32737477535654425
103,True,4.577566798522237e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.41744238123296196,1,True,1,8,0.7511635062560291,0.12529535398545444,0.45643546458764034,-0.4601316418216348
104,True,2.831493714252529e-16,2.220446049250313e-16,2.220446049250313e-16,0.4174423812329622,8,True,1,10,0.31041699491955344,0.9258417951924132,3.069755798238587e-15,0.21554178142532762
105,True,9.614813431917819e-17,5.551115123125783e-17,0.0,0.880485734471837,3,True,1,6,0.7431558482811521,0.24520115404320486,0.40824829046386346,0.4700309697825609
106,True,1.1188630228279524e-16,1.1102230246251565e-16,0.0,0.8804857344718372,8,True,1,6,-0.0871448555112709,0.4491021590075079,-0.40824829046386263,0.7899660488059272
107,True,2.2887833992611187e-16,2.220446049250313e-16,0.0,0.0,8,True,1,11,-0.055598192310188976,0.928416296547143,0.16666666666667004,0.32737477535654425
