elementary_invariant,coefficient_id,f0_power,f1_power,f2_power,f3_power,target_coefficient,canonical_coefficient,residual,coefficient_pass
e4,137,0,3,3,2,-0.0008943622355029066,-0.0008943622355028758,-3.0791341698588326e-17,True
e4,138,0,3,2,3,-0.0008625270466204489,-0.0008625270466204489,0.0,True
e4,139,0,3,1,4,-0.0007332296368384435,-0.0007332296368384284,-1.5070410197548512e-17,True
e4,140,0,3,0,5,0.00026636627266369336,0.00026636627266369634,-2.9815559743351372e-18,True
e4,141,0,2,6,0,0.0010974640290291361,0.0010974640290291337,2.3852447794681098e-18,True
e4,142,0,2,5,1,-0.00022413361909280852,-0.00022413361909280963,1.111307226797642e-18,True
e4,143,0,2,4,2,0.003605477502943329,0.003605477502943315,1.3877787807814457e-17,True
e4,144,0,2,3,3,-0.0007785909220312782,-0.0007785909220312762,-1.951563910473908e-18,True
e4,145,0,2,2,4,0.0033271140968998683,0.0033271140968998488,1.951563910473908e-17,True
e4,146,0,2,1,5,-0.0006063047372305804,-0.0006063047372305772,-3.2526065174565133e-18,True
e4,147,0,2,0,6,0.0009489934159545075,0.0009489934159544999,7.589415207398531e-18,True
e4,148,0,1,7,0,-1.496071943087908e-19,3.9554869219136585e-18,-4.105094116222449e-18,True
e4,149,0,1,6,1,-0.0004481459699920532,-0.0004481459699920534,2.168404344971009e-19,True
e4,150,0,1,5,2,-0.00039056248915720216,-0.00039056248915718823,-1.3931997916438732e-17,True
e4,151,0,1,4,3,-0.0009030548679454837,-0.0009030548679454848,1.0842021724855044e-18,True
e4,152,0,1,3,4,-0.0006724463398168461,-0.0006724463398168313,-1.485356976305141e-17,True
e4,153,0,1,2,5,-7.128777219097534e-05,-7.128777219097373e-05,-1.6127507315721878e-18,True
e4,154,0,1,1,6,-0.00030701122372844136,-0.00030701122372843665,-4.716279450311944e-18,True
e4,155,0,1,0,7,0.00025119512647456277,0.00025119512647456363,-8.673617379884035e-19,True
e4,156,0,0,8,0,0.0001177375699266982,0.00011773756992669721,9.893344823930228e-19,True
