elementary_invariant,row,column,row_monomial,column_monomial,numerator,denominator,exact_value,floating_value
e3,15,13,f1*f3^2,f1*f2^2,-2115,1478347,-2115/1478347,-0.0014306519376032826
e3,15,14,f1*f3^2,f1*f2*f3,-5121512975793809689,1074222249278318249989,-5121512975793809689/1074222249278318249989,-0.004767647457716067
e3,15,15,f1*f3^2,f1*f3^2,250675,8508987,250675/8508987,0.02946002855569059
e3,16,0,f2^3,f0^3,3847,7813650,3847/7813650,0.0004923435270328207
e3,16,1,f2^3,f0^2*f1,-1991,8330083,-1991/8330083,-0.00023901322471816906
e3,16,2,f2^3,f0^2*f2,-1313260111987,63409023534516662,-1313260111987/63409023534516662,-2.071093416652486e-05
e3,16,3,f2^3,f0^2*f3,13492,7448063,13492/7448063,0.0018114776956102546
e3,16,4,f2^3,f0*f1^2,-25551932013783130599,7489933170348293657512,-25551932013783130599/7489933170348293657512,-0.003411503338232713
e3,16,5,f2^3,f0*f1*f2,11709812738667,36273110744811172,11709812738667/36273110744811172,0.00032282350474564895
e3,16,6,f2^3,f0*f1*f3,-698,268301,-698/268301,-0.002601555715409186
e3,16,7,f2^3,f0*f2^2,0,1,0,0.0
e3,16,8,f2^3,f0*f2*f3,-51993097797971,90962717863415510,-51993097797971/90962717863415510,-0.0005715868986680995
e3,16,9,f2^3,f0*f3^2,68035366791497540429,29108306414418966423612,68035366791497540429/29108306414418966423612,0.002337317940208154
e3,16,10,f2^3,f1^3,265,1052536,265/1052536,0.0002517728609757766
e3,16,11,f2^3,f1^2*f2,-121068867811237,31254402458451860,-121068867811237/31254402458451860,-0.003873658054163099
e3,16,12,f2^3,f1^2*f3,4467,5845499,4467/5845499,0.0007641777032208884
e3,16,13,f2^3,f1*f2^2,0,1,0,0.0
e3,16,14,f2^3,f1*f2*f3,10265,6782789,10265/6782789,0.0015133892562484252
e3,16,15,f2^3,f1*f3^2,-17779,9675818,-17779/9675818,-0.0018374673851864515
e3,16,16,f2^3,f2^3,125,27648,125/27648,0.004521122685185185
e3,17,0,f2^2*f3,f0^3,11243,8402198,11243/8402198,0.0013381022441984823
