probe_id,point_norm_squared,e1_direct,e1_canonical,e1_residual,e2_direct,e2_canonical,e2_residual,e3_direct,e3_canonical,e3_residual,e4_direct,e4_canonical,e4_residual,e5_direct,e5_canonical,e5_residual
70,5.915056273754835,2.4646067807311804,2.464606780731181,4.440892098500626e-16,2.311149490625805,2.311149490625805,0.0,1.0007942915855585,1.000794291585558,4.440892098500626e-16,0.18674086639997495,0.18674086639997478,1.6653345369377348e-16,0.009549741287859593,0.009549741287859542,5.0306980803327406e-17
71,7.534603878192145,3.1394182825800643,3.1394182825800607,3.552713678800501e-15,3.7597392032536474,3.7597392032536368,1.0658141036401503e-14,2.0917174679335844,2.0917174679335724,1.199040866595169e-14,0.5104147792460494,0.5104147792460425,6.8833827526759706e-15,0.03742331046674923,0.03742331046674775,1.4779844015322396e-15
72,8.694166522470335,3.6225693843626416,3.62256938436264,1.7763568394002505e-15,5.2238458090508155,5.223845809050807,8.881784197001252e-15,3.8141677858713514,3.814167785871343,8.43769498715119e-15,1.4776382978717886,1.4776382978717848,3.774758283725532e-15,0.286287772390806,0.2862877723908051,8.881784197001252e-16
73,3.260004568686006,1.358335236952502,1.3583352369525026,6.661338147750939e-16,0.7323508492769404,0.7323508492769406,2.220446049250313e-16,0.1980908308957037,0.19809083089570362,8.326672684688674e-17,0.027866547670972082,0.027866547670972054,2.7755575615628914e-17,0.001894943417679464,0.0018949434176794584,5.637851296924623e-18
74,1.7867965278122173,0.744498553255091,0.7444985532550906,3.3306690738754696e-16,0.21817912052888375,0.2181791205288834,3.3306690738754696e-16,0.031561932651173685,0.03156193265117355,1.3183898417423734e-16,0.002301864665437242,0.002301864665437226,1.6046192152785466e-17,7.671650072598506e-05,7.671650072598413e-05,9.351243737687476e-19
75,2.9769335569932136,1.2403889820805043,1.2403889820805056,1.3322676295501878e-15,0.639933175552379,0.6399331755523807,1.6653345369377348e-15,0.175770741315893,0.1757707413158936,6.106226635438361e-16,0.027109731830139608,0.027109731830139736,1.2836953722228372e-16,0.00222615472950659,0.002226154729506603,1.3010426069826053e-17
76,2.929584605452403,1.2206602522718324,1.2206602522718346,2.220446049250313e-15,0.5602678522697799,0.5602678522697823,2.3314683517128287e-15,0.11520934590702556,0.11520934590702672,1.1657341758564144e-15,0.009186661332289682,0.0091866613322899,2.1684043449710089e-16,5.733556437077132e-05,5.7335564370787767e-05,1.6445991703889495e-17
77,2.401730041702821,1.000720850709509,1.0007208507095087,2.220446049250313e-16,0.39052621774895846,0.39052621774895796,4.996003610813204e-16,0.07416432640760229,0.07416432640760211,1.8041124150158794e-16,0.0069285440536252605,0.006928544053625225,3.5561831257524545e-17,0.0002825022041047196,0.00028250220410471724,2.3310346708438345e-18
78,3.080605535125221,1.2835856396355088,1.2835856396355088,0.0,0.6582811373849403,0.6582811373849398,5.551115123125783e-16,0.17116353114034105,0.17116353114034094,1.1102230246251565e-16,0.02354296737239779,0.023542967372397763,2.7755575615628914e-17,0.0016060012398139032,0.0016060012398138983,4.9873299934333204e-18
79,5.556656440876193,2.31527351703175,2.3152735170317476,2.6645352591003757e-15,2.091575962670605,2.0915759626705994,5.773159728050814e-15,0.9170608162713622,0.9170608162713567,5.440092820663267e-15,0.1957542719756529,0.19575427197565098,1.915134717478395e-15,0.017715915471435313,0.017715915471434994,3.191891195797325e-16
80,11.269542928611465,4.695642886921452,4.695642886921443,8.881784197001252e-15,8.613135761794613,8.613135761794576,3.730349362740526e-14,7.684158904368209,7.684158904368147,6.217248937900877e-14,3.352062007840306,3.3520620078402645,4.1300296516055823e-14,0.6261731164266807,0.6261731164266665,1.4210854715202004e-14
81,3.723862412237286,1.551609338432201,1.5516093384322027,1.7763568394002505e-15,0.9824327506446175,0.9824327506446194,1.887379141862766e-15,0.32486003816233044,0.3248600381623316,1.1657341758564144e-15,0.05918572302527577,0.05918572302527604,2.706168622523819e-16,0.0056360758785536196,0.005636075878553653,3.382710778154774e-17
82,13.045712545745571,5.435713560727329,5.435713560727322,7.105427357601002e-15,11.755274115391726,11.755274115391693,3.375077994860476e-14,12.77258429868544,12.772584298685375,6.394884621840902e-14,7.215856295584075,7.2158562955840235,5.1514348342607263e-14,1.9648530517722613,1.9648530517722427,1.865174681370263e-14
