row,kernel_column,is_pivot_row,numerator,denominator,exact_value,floating_value
35,0,True,0,1,0,0.0
35,1,True,0,1,0,0.0
35,2,True,1,1,1,1.0
35,3,True,0,1,0,0.0
35,4,True,0,1,0,0.0
35,5,True,0,1,0,0.0
35,6,True,0,1,0,0.0
35,7,True,0,1,0,0.0
35,8,True,0,1,0,0.0
35,9,True,0,1,0,0.0
36,0,False,0,1,0,0.0
36,1,False,68,58391,68/58391,0.0011645630319741056
36,2,False,14831,83818,14831/83818,0.17694290009305877
36,3,False,-3824,51359,-3824/51359,-0.07445627835432933
36,4,False,-20361,38321,-20361/38321,-0.5313274705774902
36,5,False,2153,39477,2153/39477,0.054538085467487396
36,6,False,736,56445,736/56445,0.013039241739746656
36,7,False,-10649,92318,-10649/92318,-0.11535128577308867
36,8,False,-97,1868,-97/1868,-0.05192719486081371
36,9,False,673,8411,673/8411,0.08001426703126857
37,0,False,0,1,0,0.0
37,1,False,4,3005,4/3005,0.0013311148086522463
37,2,False,23510,65789,23510/65789,0.3573545729529253
37,3,False,1861,35945,1861/35945,0.05177354291278342
37,4,False,-31462,67163,-31462/67163,-0.4684424459896074
37,5,False,-27,93655,-27/93655,-0.00028829213603117823
37,6,False,1956,62993,1956/62993,0.031051069166415316
37,7,False,4087,85897,4087/85897,0.047580241451971546
37,8,False,-695,71947,-695/71947,-0.009659888529056112
37,9,False,6631,93040,6631/93040,0.07127042132416166
38,0,False,0,1,0,0.0
38,1,False,-18,51737,-18/51737,-0.000347913485513269
38,2,False,2951,92126,2951/92126,0.032032216746629615
38,3,False,-43,59174,-43/59174,-0.0007266704971778145
38,4,False,1315,52642,1315/52642,0.024980053949318036
38,5,False,54,98113,54/98113,0.0005503857796622262
38,6,False,6409,98417,6409/98417,0.06512086326549275
38,7,False,-273,50422,-273/50422,-0.005414303280314148
38,8,False,-207,11957,-207/11957,-0.01731203479133562
38,9,False,16269,96863,16269/96863,0.16795886974386504
39,0,False,0,1,0,0.0
39,1,False,-176,91381,-176/91381,-0.0019260021229796128
39,2,False,4820,78049,4820/78049,0.06175607631103538
39,3,False,-120,4021,-120/4021,-0.029843322556577966
39,4,False,-6525,77642,-6525/77642,-0.08403956621416243
39,5,False,24,21695,24/21695,0.0011062456787278175
39,6,False,9081,91354,9081/91354,0.09940451430698163
39,7,False,1331,31143,1331/31143,0.042738336062678614
39,8,False,-1993,59686,-1993/59686,-0.03339141507221124
39,9,False,4821,30238,4821/30238,0.15943514782723725
40,0,False,0,1,0,0.0
40,1,False,-245,36461,-245/36461,-0.006719508515948548
40,2,False,7273,59043,7273/59043,0.1231814101586979
40,3,False,-2087,72985,-2087/72985,-0.028594916763718572
40,4,False,-5655,37106,-5655/37106,-0.1524012289117663
40,5,False,1420,52661,1420/52661,0.026964926606027232
40,6,False,2767,64040,2767/64040,0.04320737039350406
40,7,False,-18139,85724,-18139/85724,-0.2115976855956325
40,8,False,-2107,72564,-2107/72564,-0.029036436800617387
