sample_id,source_index,s4,s6,s8,residual_norm_squared,operator_norm,gap_0,gap_1,gap_2,gap_3,gap_4,gap_5,gap_determinant,elementary_1,elementary_2,elementary_3,elementary_4,elementary_5
1088,10881,1.2434251901917726,0.730816500156103,0.4614022623455415,0.06693360475850844,0.30270042330343694,0.019483564843031178,0.019483564843031233,0.0779726281654801,0.07797262816548017,0.11087714032482227,0.1108771403248223,2.837299757814291e-08,0.4166666666666673,0.06805247526692064,0.00547223936649919,0.0002220864221865164,4.1520655792904495e-06
1089,10891,1.3274953508898104,0.8603122002236958,0.5870624750533203,0.07662199426198672,0.3120873576884473,0.013712592282154214,0.013712592282154419,0.08452339765537714,0.08452339765537716,0.11009734339580221,0.1100973433958023,1.628346027116711e-08,0.41666666666666746,0.06735189059443707,0.005244611828131948,0.00019655944381403515,3.0560663523139284e-06
1090,10901,1.0458002352311406,0.5294373293713459,0.2854928189112803,0.09151724467529646,0.28379803918707486,0.03056978406468259,0.030569784064682762,0.0752480986460251,0.07524809864602512,0.10251545062262526,0.10251545062262533,5.561019956437153e-08,0.4166666666666662,0.06969934989159215,0.00595008882241776,0.0002711349884647643,6.201208970212881e-06
1091,10911,1.4676247606755548,1.079835243539638,0.8854258825575329,0.06503145477684279,0.3246411266573783,0.005719249993739142,0.00571924999373924,0.09571835495448343,0.09571835495448347,0.10689572838511024,0.1068957283851103,3.424438055786928e-09,0.41666666666666585,0.06618414551288856,0.004863155674834583,0.0001541304699469379,1.3331359863373403e-06
1092,10921,1.5570267696216114,1.1958715253915786,1.0093410396278872,0.013097615375807978,0.3303343066263963,0.001990356976769137,0.0019903569767692193,0.09709887271432902,0.09709887271432903,0.1092441036422348,0.1092441036422348,4.457448539208045e-10,0.416666666666666,0.06543912877167149,0.004633131797979709,0.00013019713730620834,4.6524621665840157e-07
1093,10931,1.066386630384113,0.5817389103833908,0.3672302402488452,0.12392509001431552,0.29018976905675814,0.02690100904589646,0.026901009045896547,0.08381505639730219,0.08381505639730219,0.09761726789013439,0.0976172678901344,4.844338936106852e-08,0.41666666666666624,0.06952779659865074,0.005882909434535195,0.00026233689796996076,5.750079808635692e-06
1094,10941,1.5287329815369035,1.1525609959609613,0.949976678295758,0.02467495291106439,0.32830486630421296,0.003327025872083999,0.0033270258720840833,0.09523049720396551,0.09523049720396556,0.109775810257284,0.10977581025728406,1.2097002279382067e-09,0.41666666666666724,0.06567491033904456,0.004709589107079586,0.00013850394932103882,7.746413648791606e-07
1095,10951,1.5413854754945453,1.1628697376371946,0.9355039656052557,0.01063668868692759,0.32883599691419446,0.002977998244559061,0.0029779982445591207,0.09425723501683082,0.09425723501683085,0.11109810007194347,0.11109810007194353,9.725043003780743e-10,0.41666666666666685,0.06556947288939738,0.0046804314840045375,0.00013583434354644266,6.912684138457076e-07
1096,10961,1.2621269781065982,0.7557407689424667,0.4851786091128713,0.06642870026956224,0.3046612001457679,0.018292664236851403,0.018292664236851507,0.07894894691279977,0.0789489469127999,0.11109172218368216,0.11109172218368216,2.574008682499767e-08,0.41666666666666685,0.06789662703429697,0.005423759609923737,0.0002168359853812945,3.929723956921669e-06
1097,10971,1.1635055254289446,0.6292230425572336,0.36355870027034576,0.06612662718532619,0.2936836412346578,0.02486102998226387,0.02486102998226403,0.073876011390171,0.07387601139017104,0.10959629196089883,0.10959629196089886,4.051695836107591e-08,0.41666666666666763,0.06871847247327767,0.005676679555466779,0.00024409120237567364,5.095751805633369e-06
