probe_id,f0,f1,f2,f3,sigma,target_gap,quadratic_relation_score
84,-0.8338724122367148,-0.20664675286982245,-0.4942151155310932,0.13306141145902967,0.3136052536170494,0.01972807971628393,0.0
85,0.5912790344765327,-0.001316059955095112,-0.6894668677636038,-0.4183572751022013,0.2742560185300266,0.05907731480330669,0.0
86,0.4235975884987639,-0.6532287775175962,0.6099053084120167,0.14789442860277446,0.3006508735581187,0.03268245977521461,0.0
87,0.1287052883524646,0.4572783088720469,0.7362383556587352,0.48195910681524784,0.3244857165090051,0.00884761682432822,0.0
88,0.31330488611276813,0.4176522050610929,-0.7820724517391473,-0.34024897380622793,0.2738382601327257,0.059495073200607596,0.0
89,-0.27273635648868483,-0.6450455986752597,-0.7043496288468857,-0.1158561859470928,0.28336044466026,0.04997288867307331,0.0
90,0.45874816153792347,-0.2921308548005517,-0.3131413830218381,0.7785577449349822,0.3286301963467396,0.004703136986593692,0.0
91,-0.435134052821222,-0.4593260061755235,0.5932084039121791,0.4977768231388298,0.26325948162020646,0.07007385171312686,0.0
92,-0.7108617872681687,0.020224811257602792,0.42797571396108597,-0.5577663172610893,0.3293042716440984,0.004029061689234892,0.0
93,0.01598738287889109,0.4808864159704595,0.026918420992360994,0.8762237483286149,0.28641597368604854,0.04691735964728477,0.0
94,0.6949856558721899,0.10104351599327294,-0.5990094156851633,0.384672413786248,0.331286338839322,0.0020469944940113005,0.0
95,0.8092104373434108,-0.04849687572644938,0.45726028355363213,-0.3657041895080106,0.3291050781045989,0.004228255228734434,0.0
96,0.5397085634148712,-0.21488269949352062,0.4808022451194536,0.6567870987794495,0.2790230718516377,0.0543102614816956,0.0
97,-0.923010450848756,0.13648164428513979,0.08814868179766665,0.34878973364268384,0.27258923670486696,0.06074409662846636,0.0
98,-0.21871277534109612,0.9020197573971054,-0.3653380156344823,-0.07108595852994506,0.3010371815101426,0.03229615182319073,0.0
99,0.22921130378675816,0.5463159582501544,-0.7729050476482295,0.2271977977390579,0.3034730986393323,0.02986023469400101,0.0
100,0.021601924857301186,-0.7233370925036069,-0.5639673927797507,-0.3978160219650516,0.3257735492877957,0.0075597840455375875,0.0
101,0.6207537852349596,-0.5828785077899553,0.4466065065578314,-0.27469985725011603,0.3236490400899527,0.009684293243380604,0.0
102,-0.4290250676080387,-0.6516355248467538,0.5842547356810898,0.2235062369506347,0.2894311245564976,0.043902208776835705,0.0
103,-0.05826543409918532,-0.7415936202422213,0.2585291480005712,-0.6162846105813194,0.28684476120923935,0.04648857212409396,0.0
104,-0.7572449236562386,0.031580315310300026,0.4293156159455464,-0.49119335417639315,0.3275316271326334,0.005801706200699919,0.0
105,-0.55100334777126,0.7551030011476305,0.03050009318913023,0.353955523644087,0.3176807082169296,0.015652625116403696,0.0
106,-0.26443012003739774,-0.17919372627380498,-0.7095909141748471,-0.6280502007018395,0.3124983303105931,0.020835003022740217,0.0
107,0.5783939243362639,0.48811038759896935,-0.20143143005587302,0.6217990807282735,0.3002153765619531,0.03311795677138024,0.0
