group_index,source_line,target_line,projective_distance,action_pass
15,19,27,0.0,True
15,20,18,0.0,True
15,21,16,0.0,True
15,22,15,1.4901161193847656e-08,True
15,23,28,0.0,True
15,24,12,1.4901161193847656e-08,True
15,25,17,0.0,True
15,26,14,0.0,True
15,27,22,0.0,True
15,28,23,0.0,True
15,29,21,0.0,True
16,0,0,0.0,True
16,1,5,0.0,True
16,2,2,0.0,True
16,3,9,0.0,True
16,4,7,0.0,True
16,5,1,0.0,True
16,6,8,0.0,True
16,7,4,0.0,True
16,8,6,0.0,True
16,9,3,0.0,True
16,10,28,0.0,True
16,11,18,0.0,True
16,12,17,0.0,True
16,13,29,0.0,True
16,14,23,0.0,True
16,15,24,0.0,True
16,16,19,0.0,True
16,17,12,0.0,True
16,18,11,0.0,True
16,19,16,2.1073424255447017e-08,True
16,20,20,0.0,True
16,21,22,0.0,True
16,22,21,0.0,True
16,23,14,0.0,True
16,24,15,0.0,True
16,25,25,0.0,True
16,26,26,0.0,True
16,27,27,0.0,True
16,28,10,0.0,True
16,29,13,0.0,True
17,0,1,0.0,True
17,1,4,0.0,True
17,2,6,0.0,True
17,3,8,0.0,True
17,4,7,0.0,True
17,5,0,0.0,True
17,6,9,0.0,True
17,7,5,0.0,True
17,8,2,0.0,True
17,9,3,0.0,True
17,10,28,0.0,True
17,11,25,0.0,True
17,12,20,0.0,True
17,13,29,0.0,True
17,14,10,0.0,True
17,15,24,0.0,True
17,16,11,0.0,True
17,17,13,0.0,True
17,18,19,0.0,True
17,19,16,0.0,True
17,20,17,0.0,True
17,21,27,0.0,True
17,22,15,0.0,True
17,23,26,0.0,True
17,24,21,0.0,True
17,25,18,0.0,True
17,26,14,0.0,True
17,27,22,0.0,True
17,28,23,0.0,True
17,29,12,2.1073424255447017e-08,True
18,0,1,0.0,True
18,1,4,0.0,True
18,2,7,0.0,True
18,3,8,0.0,True
18,4,6,0.0,True
18,5,9,0.0,True
18,6,0,0.0,True
18,7,5,0.0,True
18,8,3,0.0,True
18,9,2,0.0,True
18,10,28,0.0,True
18,11,27,0.0,True
18,12,20,0.0,True
18,13,29,0.0,True
18,14,14,0.0,True
18,15,16,0.0,True
18,16,11,0.0,True
18,17,18,0.0,True
18,18,17,0.0,True
18,19,24,0.0,True
18,20,19,0.0,True
18,21,25,0.0,True
18,22,22,0.0,True
18,23,26,0.0,True
18,24,12,1.4901161193847656e-08,True
18,25,13,0.0,True
18,26,10,0.0,True
18,27,15,0.0,True
18,28,23,0.0,True
18,29,21,0.0,True
19,0,0,0.0,True
19,1,5,0.0,True
19,2,7,0.0,True
19,3,9,0.0,True
19,4,2,0.0,True
19,5,8,0.0,True
19,6,1,0.0,True
19,7,4,0.0,True
19,8,3,0.0,True
19,9,6,0.0,True
19,10,28,0.0,True
19,11,22,0.0,True
19,12,17,0.0,True
19,13,29,1.4901161193847656e-08,True
19,14,26,0.0,True
19,15,16,0.0,True
19,16,19,0.0,True
19,17,25,0.0,True
19,18,20,0.0,True
19,19,24,0.0,True
19,20,11,0.0,True
19,21,18,0.0,True
19,22,27,0.0,True
19,23,14,0.0,True
19,24,13,0.0,True
19,25,12,1.4901161193847656e-08,True
19,26,23,0.0,True
19,27,21,0.0,True
19,28,10,0.0,True
19,29,15,0.0,True
20,0,8,0.0,True
20,1,4,0.0,True
