actual_index,actual_order,actual_cycle_type,s5_permutation,d8_rotation,d8_flip,orientation_type,character,rounded_character,representation_is_identity
442,10,10 10 10 10 10 10,1 2 3 4 0,2,1,reversing,-1.9810542095655137e-15,0,False
443,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,4 1 2 3 0,3,1,reversing,8.465450562766819e-16,0,False
444,12,12 12 12 12 12,1 4 3 2 0,1,0,preserving,9.575673587391975e-16,0,False
445,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,4 3 2 1 0,2,0,preserving,-10.0,-10,False
446,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,2 1 4 3 0,0,0,preserving,-4.163336342344337e-16,0,False
447,10,10 10 10 10 10 10,3 4 1 2 0,0,1,reversing,-4.85722573273506e-16,0,False
448,10,10 10 10 10 10 10,2 0 4 1 3,2,1,reversing,1.1102230246251565e-16,0,False
449,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,2 1 4 0 3,1,0,preserving,1.2073675392798577e-15,0,False
450,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 0 2 1 3,3,0,preserving,7.598088824778415e-16,0,False
451,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 1 2 3,1,1,reversing,5.551115123125783e-16,0,False
452,6,6 6 6 6 6 6 6 6 6 3 3,1 2 0 4 3,3,1,reversing,-1.3183898417423734e-16,0,False
453,10,10 10 10 10 10 10,1 4 0 2 3,2,0,preserving,1.9999999999999996,2,False
454,6,6 6 6 6 6 6 6 6 6 6,4 1 2 0 3,0,1,reversing,-2.498001805406602e-16,0,False
455,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 2 1 4 3,0,0,preserving,1.9999999999999984,2,False
456,6,6 6 6 6 6 6 6 6 6 6,2 1 3 0 4,2,0,preserving,-5.134781488891349e-16,0,False
