sample_id,source_index,s4,s6,e4,e4_residual,e5,e5_residual
1172,29314,1.225727462911661,0.7134904691152218,0.00022634160846468626,8.26162503569269e-05,4.3216478611977705e-06,4.3216478611977705e-06
1173,29339,0.9891298676877047,0.4554770281500954,0.0002873267555969452,0.0001284464481287767,6.950316998350797e-06,6.950316998350797e-06
1174,29364,1.157526949886359,0.6220597024594219,0.00024569570500615804,9.735488065281143e-05,5.165029029725745e-06,5.165029029725745e-06
1175,29389,1.396729481981178,0.9541292681390731,0.00017720605294879832,4.5218174078705335e-05,2.2797150658056997e-06,2.2797150658056997e-06
1176,29414,1.125746129176687,0.6234739614925604,0.0002496747764796133,9.982056245041868e-05,5.2560265063521035e-06,5.2560265063521035e-06
1177,29439,1.0256376804203389,0.519431937578685,0.00027499544241086553,0.00011880315947310506,6.345263107609264e-06,6.345263107609264e-06
1178,29464,1.5137458415101446,1.1245755508476634,0.00014349909962256186,1.962681065598615e-05,9.72518959575687e-07,9.72518959575687e-07
1179,29489,1.3604872928104235,0.9063019501453692,0.0001871677309057119,5.273816177325924e-05,2.673347016780289e-06,2.673347016780289e-06
1180,29514,1.0434088310251115,0.535832325221288,0.00027071461318414265,0.00011561749973158227,6.162802111035811e-06,6.162802111035811e-06
1181,29539,1.3426007779737692,0.8750547840176977,0.0001929855157508019,5.724024008538778e-05,2.9216181630689955e-06,2.9216181630689955e-06
1182,29564,1.2242574241331066,0.7078551074779389,0.00022718122017471637,8.330331684068437e-05,4.364729565262554e-06,4.364729565262554e-06
1183,29589,1.5457493959389494,1.1701593488392519,0.00013448268640433962,1.2815030252150196e-05,6.397339828296728e-07,6.397339828296728e-07
1184,29614,1.3161374140440643,0.880130932103284,0.00019567510420343985,5.872610130546664e-05,2.951582132957874e-06,2.951582132957874e-06
1185,29639,0.8273660145454694,0.31997775756533575,0.00032540701299490376,0.0001567574301180951,8.62181590308025e-06,8.62181590308025e-06
1186,29664,0.8567453647001579,0.34144200910444816,0.00031878739987079973,0.00015186656426729303,8.3331722896598e-06,8.3331722896598e-06
1187,29689,1.4736771186723678,1.080725963706875,0.0001533075707360061,2.686650225797342e-05,1.3165988214055963e-06,1.3165988214055963e-06
1188,29714,1.1044434410258166,0.6230664557606842,0.0002525184656015768,0.00010163019999323141,5.327168249160243e-06,5.327168249160243e-06
1189,29739,1.5265754447342703,1.1412726595377196,0.00014006279510184037,1.7051473450356282e-05,8.479437586483958e-07,8.479437586483958e-07
1190,29764,1.097362214866175,0.5715277883599801,0.0002594166711283518,0.00010744040035604437,5.720267049688297e-06,5.720267049688297e-06
1191,29789,1.5415472273823694,1.1647815138171305,0.00013559423373886453,1.3645897841141748e-05,6.792480126008397e-07,6.792480126008397e-07
1192,29814,0.9491532731847994,0.4190775774400337,0.00029699020235771285,0.00013565343368875866,7.373539906458974e-06,7.373539906458974e-06
1193,29839,1.2500848145749817,0.7642114161039671,0.0002173774681058921,7.556208877976644e-05,3.905094252378062e-06,3.905094252378062e-06
1194,29864,0.9480472487435044,0.3968800362334232,0.00029971095028394774,0.00013799939843566855,7.5449498839059316e-06,7.5449498839059316e-06
1195,29889,1.4122067527158544,0.9805272113983515,0.00017227445750161,4.1415792849364066e-05,2.075879566568012e-06,2.075879566568012e-06
1196,29914,1.4647184965506566,1.0510009180472342,0.00015781386998447517,3.0510029121308125e-05,1.5210509774715768e-06,1.5210509774715768e-06
1197,29939,0.8677677023198795,0.36203373247205345,0.0003148603678154266,0.00014876966461597213,8.129089632294594e-06,8.129089632294594e-06
1198,29964,1.4637969472249877,1.0786700391396336,0.00015472122979521755,2.777353742154285e-05,1.347440089421999e-06,1.347440089421999e-06
1199,29989,1.3577220031010615,0.9441576548887612,0.0001831258696890628,4.911095624497529e-05,2.430553906424014e-06,2.430553906424014e-06
1200,30014,1.4844086726081753,1.0798401945349407,0.00015213691424423504,2.6200967416774496e-05,1.3029285842333497e-06,1.3029285842333497e-06
1201,30039,1.3613555098621286,0.9026016371686556,0.00018748944291173305,5.3048199854815325e-05,2.6956673011587392e-06,2.6956673011587392e-06
1202,30064,1.506291092448766,1.1149761455094902,0.00014548654469168906,2.1115468835704543e-05,1.0447928805191966e-06,1.0447928805191966e-06
1203,30089,0.9841534194948703,0.4633515616728588,0.00028709083354291686,0.00012808435993466008,6.910161485136644e-06,6.910161485136644e-06
1204,30114,1.2663930162257475,0.8017304967410216,0.00021097516861232036,7.049013239178849e-05,3.6055292482991435e-06,3.6055292482991435e-06
1205,30139,0.860184120153531,0.35603575113492925,0.00031661624257817736,0.0001500726801503928,8.206191803806245e-06,8.206191803806245e-06
1206,30164,1.178344829719229,0.6882392346485047,0.000235341352171472,8.896350539007469e-05,4.636243762913225e-06,4.636243762913225e-06
1207,30189,0.969188784433932,0.4116537507502616,0.00029511079427019834,0.00013463352701613963,7.352429494371351e-06,7.352429494371351e-06
1208,30214,1.0077168278165607,0.4211443670301254,0.0002887851305874116,0.00013030479403119955,7.135286913598723e-06,7.135286913598723e-06
1209,30239,1.5020312811701562,1.119255439950764,0.00014549291859651073,2.0978208207792642e-05,1.0252503395034816e-06,1.0252503395034816e-06
1210,30264,1.5416768068097997,1.172589398451942,0.00013467545178769537,1.2846421636357588e-05,6.309775931642675e-07,6.309775931642675e-07
1211,30289,1.3917883359595289,0.9543428510328645,0.0001777820893223103,4.555882388131361e-05,2.289037253187982e-06,2.289037253187982e-06
1212,30314,1.2220326262219894,0.7366290719335619,0.00022413461511999738,8.056595761171404e-05,4.172743714829766e-06,4.172743714829766e-06
1213,30339,0.978415455933506,0.4765381824088275,0.0002863445188369798,0.0001272520400173117,6.833024336275048e-06,6.833024336275048e-06
1214,30364,1.4952488600024691,1.0959005959210546,0.0001489960670546708,2.3815851539214333e-05,1.1829774682122901e-06,1.1829774682122901e-06
1215,30389,1.4004021481840783,0.9651053159803995,0.00017548969453371033,4.383799705835208e-05,2.2006027055732136e-06,2.2006027055732136e-06
1216,30414,1.4630124525232213,1.068982800350053,0.00015593593528280113,2.88101168850317e-05,1.4102680151244249e-06,1.4102680151244249e-06
1217,30439,1.015360844110003,0.450416575314617,0.0002843661848220853,0.00012667861590874864,6.8905794364673285e-06,6.8905794364673285e-06
1218,30464,1.3264818793729698,0.8499317810586855,0.0001978864688031512,6.099947152894426e-05,3.1276295930066204e-06,3.1276295930066204e-06
1219,30489,1.2451147533039137,0.7622116267728039,0.0002182385066027277,7.615429733656896e-05,3.932441208873589e-06,3.932441208873589e-06
1220,30514,0.745229112440731,0.25229578368542194,0.00034496087121792463,0.0001713670602798131,9.510086584476617e-06,9.510086584476617e-06
1221,30539,1.5275981248671857,1.1517273996009836,0.00013873313247294363,1.5922545394066255e-05,7.815930285207563e-07,7.815930285207563e-07
1222,30564,1.2211501807320673,0.7286804571159864,0.0002251671741805924,8.144083700160513e-05,4.230083016966202e-06,4.230083016966202e-06
1223,30589,1.4803252630238484,1.0738485866049212,0.00015331436590069791,2.7094584175297188e-05,1.3479848939536085e-06,1.3479848939536085e-06
1224,30614,1.1602723238121895,0.6580867927541388,0.00024116967787715546,9.34829986094687e-05,4.9027270772790105e-06,4.9027270772790105e-06
1225,30639,1.2594219028722486,0.7520745373809521,0.00021760174509164587,7.60612782437456e-05,3.96214590127822e-06,3.96214590127822e-06
1226,30664,1.2378075013223708,0.7544552075827256,0.00022006344233805165,7.751424989039374e-05,4.005814963813674e-06,4.005814963813674e-06
1227,30689,1.0060920236203064,0.47498458628653356,0.000282773024701532,0.00012499383073284037,6.743190485451246e-06,6.743190485451246e-06
1228,30714,1.4478229579169806,1.0269781368895226,0.00016261210609859583,3.4144990239419736e-05,1.7059985194779045e-06,1.7059985194779045e-06
1229,30739,1.2732197142512545,0.8356547914046715,0.00020618923898191432,6.652488179808221e-05,3.357558190099893e-06,3.357558190099893e-06
1230,30764,1.3472374497910469,0.913401850533367,0.00018797551648208212,5.3009258695900876e-05,2.6571449363017338e-06,2.6571449363017338e-06
1231,30789,1.1157211755976937,0.6486268899067071,0.0002480776273248819,9.81037634161217e-05,5.108415144817173e-06,5.108415144817173e-06
1232,30814,1.361426644116748,0.944095599213706,0.00018267817115019713,4.884115968785944e-05,2.422721605056326e-06,2.422721605056326e-06
1233,30839,1.382096358821702,0.9315858115774889,0.0001815968424264585,4.857630100039715e-05,2.4586264606539305e-06,2.4586264606539305e-06
