probe_id,trace_c_squared,quartic_prediction,quartic_residual,directional_c_squared,sextic_prediction,sextic_residual,f_transpose_c_f,s4,f_transpose_c_f_residual
87,2.3052670723065494,2.3052670723065476,1.7763568394002505e-15,1.5273242326529055,1.5273242326529042,1.3322676295501878e-15,1.205871780661255,1.2058717806612556,4.440892098500626e-16
88,2.7917049541581935,2.7917049541581926,8.881784197001252e-16,2.347833609030441,2.34783360903044,8.881784197001252e-16,1.5242674851459683,1.5242674851459683,0.0
89,1.9789871137412829,1.9789871137412829,0.0,1.1011198833095928,1.101119883309593,2.220446049250313e-16,0.9923067168730821,0.9923067168730823,1.1102230246251565e-16
90,2.5989168642033484,2.5989168642033484,0.0,2.0144197849703387,2.0144197849703396,8.881784197001252e-16,1.398078917175525,1.3980789171755252,2.220446049250313e-16
91,2.358761905161206,2.358761905161206,0.0,1.6066876214022323,1.6066876214022319,4.440892098500626e-16,1.240886580347941,1.2408865803479407,2.220446049250313e-16
92,2.6382665155361837,2.6382665155361824,1.3322676295501878e-15,2.1122115836975115,2.11221158369751,1.3322676295501878e-15,1.4238350525933803,1.42383505259338,2.220446049250313e-16
93,2.3203446126908176,2.320344612690817,4.440892098500626e-16,1.5460713308597895,1.546071330859789,4.440892098500626e-16,1.2157407161855045,1.2157407161855047,2.220446049250313e-16
94,2.291562804569188,2.2915628045691894,1.3322676295501878e-15,1.4908353156112646,1.4908353156112657,1.1102230246251565e-15,1.196901714505894,1.196901714505894,0.0
95,2.596624849879274,2.596624849879272,1.7763568394002505e-15,2.012716542456006,2.0127165424560047,1.3322676295501878e-15,1.3965786896179475,1.396578689617948,4.440892098500626e-16
96,2.8378720239048407,2.837872023904841,4.440892098500626e-16,2.4406386818884807,2.4406386818884807,0.0,1.5544859307983199,1.5544859307983205,6.661338147750939e-16
97,1.7678489624898799,1.7678489624898794,4.440892098500626e-16,0.7920409865407456,0.7920409865407453,3.3306690738754696e-16,0.8541071996903454,0.8541071996903453,1.1102230246251565e-16
98,1.7136904928968504,1.71369049289685,4.440892098500626e-16,0.7055968748200946,0.7055968748200945,1.1102230246251565e-16,0.8186580195930898,0.8186580195930897,1.1102230246251565e-16
99,2.2765083928945513,2.2765083928945504,8.881784197001252e-16,1.510042828424656,1.510042828424656,0.0,1.1870479177734026,1.1870479177734028,2.220446049250313e-16
100,2.4825236427081157,2.4825236427081143,1.3322676295501878e-15,1.829938628948247,1.8299386289482489,1.7763568394002505e-15,1.3218942631059174,1.3218942631059174,0.0
101,2.207020579922944,2.207020579922943,8.881784197001252e-16,1.3771312270222265,1.3771312270222258,6.661338147750939e-16,1.1415649856465322,1.1415649856465324,2.220446049250313e-16
102,2.2761917202026076,2.2761917202026063,1.3322676295501878e-15,1.551191136000575,1.5511911360005746,4.440892098500626e-16,1.186840641102312,1.186840641102312,0.0
103,2.2058587572875763,2.2058587572875754,8.881784197001252e-16,1.3723627687707436,1.372362768770743,6.661338147750939e-16,1.1408045199215648,1.1408045199215646,2.220446049250313e-16
104,2.6351839663400405,2.6351839663400383,2.220446049250313e-15,2.1121981986919867,2.1121981986919875,8.881784197001252e-16,1.4218173840286312,1.4218173840286314,2.220446049250313e-16
105,2.5201307581937815,2.5201307581937806,8.881784197001252e-16,1.894747461285999,1.894747461285999,0.0,1.3465098296056262,1.3465098296056264,2.220446049250313e-16
