coefficient_id,monomial,f0_power,f1_power,f2_power,f3_power,determinant_coefficient,candidate_coefficient,residual,coefficient_pass
19,f0^9*f3^3,9,0,0,3,1.2567176432406098e-08,1.0952477543574726e-08,1.6146988888313725e-09,True
20,f0^8*f1^4,8,4,0,0,-5.5669585985376144e-08,1.9659478306531574e-07,-2.522643690506919e-07,False
21,f0^8*f1^3*f2,8,3,1,0,5.181644578817548e-07,6.552678605500668e-07,-1.3710340266831194e-07,False
22,f0^8*f1^3*f3,8,3,0,1,2.458685578164104e-07,3.5687750364813706e-07,-1.1100894583172666e-07,False
23,f0^8*f1^2*f2^2,8,2,2,0,1.2057270262534254e-06,1.8141976150589415e-06,-6.084705888055161e-07,False
24,f0^8*f1^2*f2*f3,8,2,1,1,1.353702590455901e-06,1.4797317915277799e-06,-1.2602920107187888e-07,False
25,f0^8*f1^2*f3^2,8,2,0,2,8.530551295340773e-07,1.4226515094864291e-06,-5.695963799523519e-07,False
26,f0^8*f1*f2^3,8,1,3,0,9.371129829307007e-07,1.0110567486583805e-06,-7.394376572767974e-08,False
27,f0^8*f1*f2^2*f3,8,1,2,1,1.3214572024442668e-06,1.1680363893221112e-06,1.534208131221556e-07,False
28,f0^8*f1*f2*f3^2,8,1,1,2,1.70729744464638e-06,1.584686455122977e-06,1.2261098952340289e-07,False
29,f0^8*f1*f3^3,8,1,0,3,1.227609665670183e-06,1.335666794200598e-06,-1.0805712853041498e-07,False
30,f0^8*f2^4,8,0,4,0,4.123968645223038e-07,7.279375746990313e-07,-3.155407101767275e-07,False
31,f0^8*f2^3*f3,8,0,3,1,1.629221372348117e-06,1.7606042749310876e-06,-1.3138290258297058e-07,False
32,f0^8*f2^2*f3^2,8,0,2,2,1.9865886824301195e-06,2.508444972100464e-06,-5.218562896703446e-07,False
33,f0^8*f2*f3^3,8,0,1,3,1.419853261562216e-06,1.5415506813908872e-06,-1.2169741982867128e-07,False
34,f0^8*f3^4,8,0,0,4,3.826776845116703e-07,6.999996929937782e-07,-3.1732200848210793e-07,False
35,f0^7*f1^5,7,5,0,0,1.5009751278266715e-08,8.097522288204758e-09,6.912228990061957e-09,False
36,f0^7*f1^4*f2,7,4,1,0,1.890341169345769e-09,-1.9740659388344435e-08,2.1631000557690205e-08,False
37,f0^7*f1^4*f3,7,4,0,1,-1.112131259947512e-07,-1.1652751667234946e-07,5.3143906775982625e-09,False
38,f0^7*f1^3*f2^2,7,3,2,0,-4.447199840212018e-07,-4.390260578309776e-07,-5.693926190224165e-09,False
