line_id,group_orbit_id,stabilizer_order,s4,s4_rational,s6,s6_rational,s8,s8_rational,covariant_eigenvalue_0,covariant_eigenvalue_1,covariant_eigenvalue_2,covariant_eigenvalue_3,operator_norm,one_third_gap,singular_value_0,singular_value_1,singular_value_2,singular_value_3,singular_value_4,singular_value_5,residual_norm,f0,f1,f2,f3
20,0,32,1.5624999999999996,25/16,1.1935763888888888,1375/1152,0.9720413773148147,26875/27648,0.1736111111111103,0.17361111111111158,0.590277777777778,1.5624999999999993,0.3302798049097852,0.003053528423548113,0.3302798049097852,0.3302798049097851,0.12615565967785355,0.12615565967785353,1.3020389591822472e-16,9.49269972762278e-17,4.603949291125036e-16,0.3104169949195529,0.9258417951924132,3.3360735173797787e-15,0.21554178142532837
21,0,32,1.562500000000001,25/16,1.19357638888889,1375/1152,0.9720413773148157,26875/27648,0.17361111111111036,0.17361111111111255,0.5902777777777789,1.5625000000000007,0.33027980490978487,0.003053528423548446,0.33027980490978487,0.33027980490978487,0.1261556596778536,0.12615565967785344,5.933582532594275e-16,5.465538209332976e-16,1.3788683915077173e-15,0.6561788177755511,-0.0883553776569309,-0.45643546458764095,0.5943814877740101
22,0,32,1.5625000000000004,25/16,1.1935763888888893,1375/1152,0.9720413773148147,26875/27648,0.17361111111111108,0.17361111111111122,0.5902777777777785,1.5625,0.33027980490978465,0.003053528423548668,0.33027980490978465,0.3302798049097846,0.12615565967785336,0.12615565967785328,2.2908760437154782e-16,1.902559111598696e-16,2.387624894196368e-16,-0.08646470840275906,0.09401922545534452,0.45643546458763806,0.8805401218072179
23,2,96,0.7291666666666666,35/48,0.2387152777777777,275/1152,0.08373119212962958,2315/27648,0.5902777777777771,0.5902777777777779,0.5902777777777787,0.7291666666666662,0.20412414523193137,0.12920918810140194,0.20412414523193137,0.20412414523193123,0.20412414523193118,0.20412414523193118,0.20412414523193115,0.20412414523193093,1.1209924842431371e-15,0.01905125462072389,0.6879709387049825,-0.6123724356957926,-0.3890154716650277
24,0,32,1.5625000000000018,25/16,1.1935763888888906,1375/1152,0.9720413773148167,26875/27648,0.17361111111111055,0.17361111111111174,0.5902777777777781,1.5625000000000009,0.33027980490978487,0.003053528423548446,0.33027980490978487,0.3302798049097848,0.1261556596778535,0.1261556596778534,3.5398758393231926e-16,2.7469210000830606e-16,5.003707553108401e-16,-0.3323493989266369,-0.1096572897204039,0.9128709291752762,-0.2102042399927901
25,0,32,1.5625000000000013,25/16,1.1935763888888902,1375/1152,0.9720413773148162,26875/27648,0.1736111111111107,0.17361111111111177,0.5902777777777779,1.562500000000001,0.330279804909785,0.003053528423548335,0.330279804909785,0.330279804909785,0.1261556596778534,0.12615565967785333,2.6742230734553087e-16,2.593650143431416e-16,1.0103182026100664e-15,0.3713217630891562,-0.09118730155614219,0.9128709291752766,-0.14307931701660165
26,2,96,0.7291666666666674,35/48,0.23871527777777815,275/1152,0.08373119212962982,2315/27648,0.5902777777777772,0.5902777777777779,0.5902777777777782,0.7291666666666671,0.2041241452319318,0.12920918810140153,0.2041241452319318,0.2041241452319318,0.20412414523193165,0.20412414523193165,0.2041241452319315,0.20412414523193145,3.3766115072321297e-16,0.8303007037924236,-0.20390100496429955,-0.40824829046386235,-0.319935079023368
27,0,32,1.5625000000000013,25/16,1.1935763888888906,1375/1152,0.9720413773148168,26875/27648,0.17361111111111072,0.1736111111111119,0.590277777777778,1.5625000000000013,0.33027980490978454,0.003053528423548779,0.33027980490978454,0.3302798049097845,0.1261556596778533,0.12615565967785325,1.416600671568808e-16,7.950701380080252e-17,1.159062478901209e-16,0.27633707460867624,-0.3048380331985295,-1.3277449492213265e-15,0.9114338125790437
28,2,96,0.7291666666666669,35/48,0.23871527777777785,275/1152,0.08373119212962965,2315/27648,0.5902777777777772,0.5902777777777779,0.5902777777777781,0.7291666666666669,0.2041241452319322,0.1292091881014011,0.2041241452319322,0.2041241452319318,0.2041241452319318,0.20412414523193168,0.20412414523193168,0.2041241452319313,3.6506759942727966e-16,0.743155848281152,0.24520115404320475,0.40824829046386335,0.47003096978256126
29,0,32,1.5624999999999996,25/16,1.1935763888888884,1375/1152,0.9720413773148142,26875/27648,0.17361111111111038,0.17361111111111183,0.5902777777777781,1.5624999999999987,0.33027980490978465,0.003053528423548668,0.33027980490978465,0.3302798049097846,0.1261556596778534,0.12615565967785325,5.204158350193202e-16,4.743564483252183e-16,2.5943974335363627e-16,-0.3932541670962357,0.907371807028152,3.5730111736868075e-15,0.14841685844914002
