start_id,residual_norm,residual_energy,axis_distance,nearest_axis_id,valid_exclusion,objective,success,iteration_count,f0,f1,f2,f3
189,2.8146102372426676e-14,7.922030787591226e-28,0.8420246737858423,7,True,7.922030787591226e-28,True,237,-0.5802435193213372,0.41299546348946864,2.0850255275106338e-14,0.7019631083060619
190,0.014987108948481263,0.00022461343463364716,0.04996220296866673,2,False,0.00022475629619140802,True,313,-0.6773935475967705,0.7059259124032841,-0.20368665313396161,-0.03630888606027252
191,3.006135666196537e-13,9.036851643578897e-26,0.842024673785614,7,True,9.036851643578897e-26,True,205,-0.5130792019877803,0.5640693446393263,0.6454972243679703,-0.04369027648103709
192,6.210778769912154e-14,3.857377292879153e-27,0.4174423812328287,1,True,3.857377292879152e-27,True,239,0.37132176308925097,-0.09118730155616218,0.9128709291752213,-0.14307931701669532
193,2.3781905635140006e-14,5.65579035638704e-28,0.842024673785846,8,True,5.65579035638704e-28,True,272,-0.5130792019878986,0.5640693446392778,0.6454972243679031,-0.04369027648126643
194,4.065317916264161e-13,1.6526809760298379e-25,0.8420246737855822,7,True,1.6526809760298379e-25,True,204,-0.5371773447421603,-0.3061527074850428,0.6454972243679606,0.448379697721249
195,8.654845844308215e-14,7.490635658873917e-27,0.8420246737858013,4,True,7.490635658873917e-27,True,213,-0.5130792019879834,0.5640693446392073,0.6454972243678958,-0.04369027648129377
196,2.1230897290345624e-14,4.507509997532052e-28,0.41744238123288535,8,True,4.507509997532052e-28,True,230,-0.06942474824733172,0.7093591396508702,0.4564354645875943,0.5325941062303251
197,2.67035362912101e-15,7.130788504559749e-30,0.8420246737858637,8,True,7.130788504559749e-30,True,264,-0.5802435193213511,0.4129954634894652,1.2465059294343476e-15,0.7019631083060524
198,3.9417054020546686e-16,1.5537041476586957e-31,0.41744238123296196,0,True,1.5537041476586957e-31,True,264,-0.4273340874071134,-0.323308021362791,-2.7122513735315374e-15,0.8443088896028554
199,9.937178694554432e-14,9.874752040750653e-27,0.8420246737857932,0,True,9.874752040750654e-27,True,248,0.48206209878564354,0.590189852398044,0.6454972243679082,0.051238699964790885
200,0.014987108938293147,0.00022461343432826633,0.04996220292826848,8,False,0.00022475629619141412,True,403,-0.01134180027800033,0.9368391877376434,0.14784464873229797,0.3167738305585704
201,3.127244452081892e-13,9.779657863076973e-26,0.8804857344716448,7,True,9.779657863076974e-26,True,224,0.7431558482810238,0.24520115404325976,0.4082482904641242,0.470030969782509
202,2.143709927947691e-14,4.595492255181495e-28,0.4174423812329428,5,True,4.595492255181494e-28,True,272,0.6561788177755422,-0.08835537765695821,-0.4564354645876396,0.5943814877740167
203,4.752116683493391e-13,2.258261297353623e-25,0.8420246737854776,2,True,2.258261297353623e-25,True,309,0.4579639560318164,-0.2800321997269318,0.6454972243678229,0.5433086741671083
204,4.200916673907126e-14,1.7647700901110914e-27,0.4174423812327795,0,True,1.764770090111091e-27,True,268,-0.4273340874072598,-0.3233080213628241,-7.31072292274003e-14,0.8443088896027685
