sample_id,source_index,f0,f1,f2,f3,top_pencil_eigenvalue,s4,s6,s8,covariant_trace,covariant_trace_square,covariant_trace_cube,covariant_determinant,covariant_eigenvalue_0,covariant_eigenvalue_1,covariant_eigenvalue_2,covariant_eigenvalue_3,covariant_top_gap,covariant_spread,projective_axis_distance
1245,12452,0.014567508716151562,-0.5855359877456668,-0.7958601278869982,0.1534341930086049,0.07380758227283339,0.9315144317959174,0.42931386535006094,0.22427038695049956,2.5000000000000013,1.8861100115400604,1.6535380332171434,0.1041078354685279,0.35097458141184823,0.43433141990145585,0.6290978833941991,1.0855961152924976,0.4564982318982984,0.7346215338806493,0.6389677176712507
1246,12462,0.2791757003395462,-0.47726754900643575,0.003979879788295609,-0.8332231247164136,0.07783946831148919,1.037494015614563,0.49875067307166354,0.2542128039442847,2.499999999999999,2.0480232645963223,1.930059221300391,0.0688921561263199,0.17794200377929723,0.4901319419031568,0.6944296739477429,1.1374963803698037,0.4430667064220608,0.9595543765905065,0.7313702795367143
1247,12472,0.6595883938363604,0.16205662680635932,0.7263825374442546,0.10511522116497243,0.08969444075652688,1.1686393293893982,0.6871617984583702,0.4533939234997088,2.5000000000000018,2.2483841606412116,2.4857550986198604,0.06342704689922096,0.20713978344726924,0.39284245723369965,0.5992109808022403,1.3008067785167927,0.7015957977145524,1.0936669950695235,0.49603200698951067
1248,12482,0.378787605396124,0.44325093625870093,0.7856257000021274,-0.2069802333562856,0.08297600860079223,1.103338371748674,0.5724473485238704,0.31678433446674814,2.5,2.148618808690104,2.1655183632658344,0.05954209536753259,0.1601123217137986,0.45204238798856927,0.6825219828145008,1.2053233074831318,0.5228013246686309,1.0452109857693332,0.6547889736363531
1249,12492,-0.014647561633871282,0.7384630982832546,0.2368096270586139,0.631172640364297,0.10470802444792307,1.462732682398869,1.0582884996996726,0.8280353850810099,2.499999999999999,2.697693449961234,3.6248504883415307,0.03381399707059199,0.14687474656130167,0.25946070823801837,0.5901673047359158,1.503497240464764,0.9133299357288481,1.3566224939034623,0.3673858317345449
1250,12502,0.058683429317525695,0.46962612538319287,-0.5197087773843836,0.7112737477165412,0.06286659081099044,0.8149174491576376,0.3172065045265521,0.1403490689751997,2.5,1.7079757325093539,1.2749095542605826,0.12924457906926576,0.44001053273148283,0.5466803413994603,0.5689649085808641,0.9443442172881922,0.37537930870732805,0.5043336845567093,0.70841468182328
1251,12512,0.8570543751627883,0.38506611377277156,-0.22995031150706546,0.25358379340182785,0.099588938928524,1.3680781224933913,0.915616482300951,0.6562880848242426,2.5,2.553082316772311,3.209846688322913,0.038016720181175696,0.14184764344968012,0.2974689372370381,0.6295514173073797,1.4311320020059015,0.8015805846985218,1.2892843585562215,0.48606121640781536
1252,12522,0.6831818048260966,0.2246672955951149,-0.1719051611762641,-0.6732279282720655,0.09962103445743932,1.3511741952633292,0.9170807198176916,0.6874613628100261,2.5000000000000004,2.5272568723930493,3.1918650977648295,0.043737243058164246,0.1641506787818813,0.3197514064136901,0.5804129766279229,1.435684938176506,0.8552719615485831,1.2715342593946246,0.3908181940559751
1253,12532,0.49722241428975616,-0.5004186653435613,0.41221396561321655,0.5765680156382774,0.08856114477359134,1.196879194661069,0.6707296851301935,0.4003923677563709,2.5000000000000018,2.2915283992507094,2.486657935629501,0.04313375477854584,0.116406017461382,0.43001788581458306,0.6727873301200339,1.2807887666040023,0.6080014364839684,1.1643827491426204,0.6154819149032642
1254,12542,0.5187493483530677,-0.033143762294561264,0.7962307742327197,0.3095434683029076,0.08806711296311882,1.1743311694821745,0.6594890384716725,0.3946979588771966,2.5000000000000018,2.2570800274496197,2.435185376540785,0.052888155205866635,0.15476007785425422,0.39823301872706873,0.6742361234159762,1.2727707800027026,0.5985346565867264,1.1180107021484484,0.6210355864638221
