start_id,s4,axis_s4_gap,projective_distance_to_axis_register,success,status,message,iteration_count,evaluation_count,f0,f1,f2,f3
89,1.597222222222222,2.220446049250313e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,11,120,0.6934929659729102,0.3952414366885515,0.1666666638289366,-0.5788557126250012
90,1.5972222222222228,-4.440892098500626e-16,3.650024149988857e-08,False,2,Desired error not necessarily achieved due to precision loss.,14,110,2.4052266013533014e-08,1.638055011416286e-08,0.9999999999999993,2.33310137148414e-08
91,1.5972222222222225,-2.220446049250313e-16,3.332000937312528e-08,False,2,Desired error not necessarily achieved due to precision loss.,22,406,-0.07115347674905857,0.3666903559205168,0.6666666535977503,0.6450046035511554
92,1.5972222222222223,0.0,3.650024149988857e-08,False,2,Desired error not necessarily achieved due to precision loss.,11,70,-0.07115348493165419,0.36669035198916716,0.6666666851937169,0.6450045722264013
93,1.5972222222222217,6.661338147750939e-16,4.712160915387242e-08,False,2,Desired error not necessarily achieved due to precision loss.,14,85,0.6934929856215463,0.39524147417404193,0.16666664580804888,-0.5788556686787634
94,1.5972222222222225,-2.220446049250313e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,16,190,-0.08670875882948313,-0.19503553613031024,0.16666665763799232,0.9626343833566269
95,1.5972222222222214,8.881784197001252e-16,4.9421560620597e-08,False,2,Desired error not necessarily achieved due to precision loss.,23,150,2.4898696792436392e-08,3.126208565681357e-08,0.9999999999999988,2.9184049427862174e-08
96,1.5972222222222228,-4.440892098500626e-16,3.942476676500724e-08,False,2,Desired error not necessarily achieved due to precision loss.,15,110,-4.0580693904752746e-08,3.3478058471484344e-09,0.9999999999999992,1.475728810960004e-09
97,1.5972222222222223,0.0,0.0,False,2,Desired error not necessarily achieved due to precision loss.,14,130,0.6934929676245004,0.3952414300172686,0.16666666696334376,-0.5788557142989936
98,1.5972222222222223,0.0,2.9802322387695312e-08,False,2,Desired error not necessarily achieved due to precision loss.,16,250,-0.08670875408277084,-0.1950355113969234,0.16666668411591884,0.9626343842110352
99,1.5972222222222223,0.0,3.942476676500724e-08,False,2,Desired error not necessarily achieved due to precision loss.,10,65,0.5912289411593834,-0.3615199893554419,-0.16666669552327992,0.7014084751664652
100,1.597222222222222,2.220446049250313e-16,2.9802322387695312e-08,False,2,Desired error not necessarily achieved due to precision loss.,15,160,-0.08670876773392514,-0.19503551135245106,0.16666668393750855,0.9626343830213145
101,1.5972222222222203,1.9984014443252818e-15,4.712160915387242e-08,False,2,Desired error not necessarily achieved due to precision loss.,14,90,0.6934929884614454,0.3952414688675632,0.166666642577532,-0.5788556698298445
102,1.5972222222222214,8.881784197001252e-16,4.2146848510894035e-08,False,2,Desired error not necessarily achieved due to precision loss.,18,352,-0.6067842061506916,-0.20020585901073554,0.6666666848130963,-0.3837786765105174
103,1.5972222222222225,-2.220446049250313e-16,1.4901161193847656e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,70,0.5912289169113343,-0.36152001650422216,-0.16666668115610553,0.7014084850264121
104,1.5972222222222214,8.881784197001252e-16,2.1073424255447017e-08,False,2,Desired error not necessarily achieved due to precision loss.,16,110,-0.05559819678290769,0.9284162886777308,0.1666666863409857,0.3273747868979422
105,1.5972222222222225,-2.220446049250313e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,12,75,0.6934929760689231,0.3952414452248964,0.16666667614036307,-0.5788556911562038
106,1.5972222222222223,0.0,2.1073424255447017e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,140,0.5912289246812655,-0.36152004196283083,-0.1666666644280051,0.7014084693300121
107,1.5972222222222192,3.1086244689504383e-15,6.322027276634104e-08,False,2,Desired error not necessarily achieved due to precision loss.,20,220,0.6934929342326303,0.3952414748271151,0.1666666331532717,-0.5788557334425017
108,1.5972222222222208,1.5543122344752192e-15,3.942476676500724e-08,False,2,Desired error not necessarily achieved due to precision loss.,20,120,0.6223394980916942,0.761931811494462,-0.1666666892102857,0.06614891121876353
109,1.5972222222222179,4.440892098500626e-15,4.9421560620597e-08,False,2,Desired error not necessarily achieved due to precision loss.,15,100,-0.6623824366806188,0.7282103649153744,-0.16666664602599715,-0.056403910407951945
110,1.5972222222222223,0.0,2.5809568279517847e-08,False,2,Desired error not necessarily achieved due to precision loss.,16,105,-0.07115346868923038,0.3666903935628125,0.6666666496214907,0.6450045871501201
