first_line,second_line,signed_gram,absolute_gram,absolute_rational
9,22,0.35355339059327356,0.35355339059327356,33461/94642
9,23,3.461914324075803e-16,3.461914324075803e-16,0
9,24,0.35355339059327173,0.35355339059327173,33461/94642
9,25,0.7071067811865476,0.7071067811865476,33461/47321
9,26,1.2645279816066172e-15,1.2645279816066172e-15,0
9,27,-5.495215944998199e-17,5.495215944998199e-17,0
9,28,0.7905694150420951,0.7905694150420951,49024/62011
9,29,0.3535533905932754,0.3535533905932754,33461/94642
10,11,0.5590169943749469,0.5590169943749469,28980/51841
10,12,-0.5590169943749472,0.5590169943749472,28980/51841
10,13,3.603093554551776e-15,3.603093554551776e-15,0
10,14,-0.2499999999999995,0.2499999999999995,1/4
10,15,1.769956568951039e-15,1.769956568951039e-15,0
10,16,0.5590169943749465,0.5590169943749465,28980/51841
10,17,-0.5590169943749477,0.5590169943749477,51841/92736
10,18,0.5590169943749473,0.5590169943749473,28980/51841
10,19,-4.193994894793354e-17,4.193994894793354e-17,0
10,20,0.5590169943749489,0.5590169943749489,51841/92736
10,21,0.5590169943749487,0.5590169943749487,51841/92736
10,22,0.5590169943749468,0.5590169943749468,28980/51841
10,23,0.2500000000000016,0.2500000000000016,1/4
10,24,-0.5590169943749478,0.5590169943749478,51841/92736
10,25,-0.5590169943749471,0.5590169943749471,28980/51841
10,26,-0.2500000000000001,0.2500000000000001,1/4
10,27,0.5590169943749472,0.5590169943749472,28980/51841
10,28,0.2500000000000005,0.2500000000000005,1/4
10,29,0.5590169943749479,0.5590169943749479,51841/92736
11,12,1.06129386462852e-15,1.06129386462852e-15,0
11,13,0.2500000000000021,0.2500000000000021,1/4
11,14,0.5590169943749487,0.5590169943749487,51841/92736
11,15,0.7500000000000011,0.7500000000000011,3/4
11,16,0.24999999999999792,0.24999999999999792,1/4
11,17,-0.24999999999999922,0.24999999999999922,1/4
11,18,0.25000000000000044,0.25000000000000044,1/4
11,19,-0.24999999999999972,0.24999999999999972,1/4
11,20,0.7500000000000014,0.7500000000000014,3/4
11,21,-5.244116171079035e-16,5.244116171079035e-16,0
11,22,0.7499999999999994,0.7499999999999994,3/4
11,23,4.960696138920063e-16,4.960696138920063e-16,0
11,24,0.25,0.25,1/4
11,25,0.2500000000000007,0.2500000000000007,1/4
11,26,-0.559016994374947,0.559016994374947,28980/51841
11,27,0.24999999999999967,0.24999999999999967,1/4
11,28,0.5590169943749479,0.5590169943749479,51841/92736
11,29,0.7500000000000012,0.7500000000000012,3/4
12,13,0.7499999999999984,0.7499999999999984,3/4
12,14,0.5590169943749476,0.5590169943749476,51841/92736
12,15,0.24999999999999897,0.24999999999999897,1/4
12,16,-0.750000000000001,0.750000000000001,3/4
12,17,0.7500000000000001,0.7500000000000001,3/4
12,18,0.25000000000000117,0.25000000000000117,1/4
12,19,0.24999999999999928,0.24999999999999928,1/4
12,20,0.249999999999999,0.249999999999999,1/4
12,21,-1.2416324403656916e-15,1.2416324403656916e-15,0
12,22,-0.2499999999999998,0.2499999999999998,1/4
12,23,-8.93650155198063e-16,8.93650155198063e-16,0
12,24,0.24999999999999922,0.24999999999999922,1/4
12,25,0.750000000000001,0.750000000000001,3/4
12,26,0.5590169943749478,0.5590169943749478,51841/92736
12,27,-0.25000000000000083,0.25000000000000083,1/4
12,28,0.5590169943749472,0.5590169943749472,28980/51841
12,29,-0.2499999999999989,0.2499999999999989,1/4
13,14,0.5590169943749462,0.5590169943749462,28980/51841
13,15,-4.85215299582381e-16,4.85215299582381e-16,0
13,16,-0.7499999999999994,0.7499999999999994,3/4
