target,coefficient_id,monomial,target_coefficient,candidate_coefficient,residual
e4_residual_1_over_16,19,f0^5*f3^3,4.217331588180294e-06,4.217331591655533e-06,3.4752398102798863e-15
e4_residual_1_over_16,20,f0^4*f1^4,-3.982688067901319e-05,-3.982688067366443e-05,5.348762340158519e-15
e4_residual_1_over_16,21,f0^4*f1^3*f2,0.0006956701389812525,0.0006956701389768063,-4.446204689145805e-15
e4_residual_1_over_16,22,f0^4*f1^3*f3,0.00047393847405853486,0.00047393847405614197,-2.3928884047841326e-15
e4_residual_1_over_16,23,f0^4*f1^2*f2^2,0.0009672476905017292,0.0009672476905040171,2.2878834243789115e-15
e4_residual_1_over_16,24,f0^4*f1^2*f2*f3,0.001068152748710385,0.0010681527487109979,6.127910678888071e-16
e4_residual_1_over_16,25,f0^4*f1^2*f3^2,0.0006536506455995421,0.0006536506456008207,1.2785996220121554e-15
e4_residual_1_over_16,26,f0^4*f1*f2^3,0.0007399296484781097,0.0007399296484776362,-4.734710887244198e-16
e4_residual_1_over_16,27,f0^4*f1*f2^2*f3,0.00020356796638234452,0.0002035679663820944,-2.5012544119240587e-16
e4_residual_1_over_16,28,f0^4*f1*f2*f3^2,0.00034865373355585813,0.00034865373355380265,-2.0554846887066436e-15
e4_residual_1_over_16,29,f0^4*f1*f3^3,0.0010079457241363346,0.0010079457241370484,7.138387103644561e-16
e4_residual_1_over_16,30,f0^4*f2^4,0.0003897771739038898,0.0003897771739035792,-3.1056971230847275e-16
e4_residual_1_over_16,31,f0^4*f2^3*f3,0.0012931529542887284,0.0012931529542885864,-1.4203048459560108e-16
e4_residual_1_over_16,32,f0^4*f2^2*f3^2,0.0010858040916043566,0.0010858040916071829,2.826298223235213e-15
e4_residual_1_over_16,33,f0^4*f2*f3^3,0.001060383781903906,0.0010603837819024736,-1.4324479102878485e-15
e4_residual_1_over_16,34,f0^4*f3^4,0.00040586429098145933,0.00040586429098010365,-1.3556863964758747e-15
e4_residual_1_over_16,35,f0^3*f1^5,-5.077562741941225e-06,-5.077562736835575e-06,5.105650331769379e-15
e4_residual_1_over_16,36,f0^3*f1^4*f2,-6.224303269234218e-06,-6.224303267458726e-06,1.7754920187611038e-15
e4_residual_1_over_16,37,f0^3*f1^4*f3,-8.133314685125204e-05,-8.133314684839045e-05,2.861589003949616e-15
e4_residual_1_over_16,38,f0^3*f1^3*f2^2,2.189260856016042e-05,2.189260856106615e-05,9.057289423672343e-16
e4_residual_1_over_16,39,f0^3*f1^3*f2*f3,0.00037225510719891277,0.0003722551072018069,2.8941150691241813e-15
e4_residual_1_over_16,40,f0^3*f1^3*f3^2,-6.694143635784798e-05,-6.69414363572067e-05,6.412784799708637e-16
e4_residual_1_over_16,41,f0^3*f1^2*f2^3,-0.00010490771815794196,-0.0001049077181582438,-3.0184188481996443e-16
e4_residual_1_over_16,42,f0^3*f1^2*f2^2*f3,1.736080282943069e-05,1.736080282938445e-05,-4.6241222656506764e-17
e4_residual_1_over_16,43,f0^3*f1^2*f2*f3^2,0.00021160396537622103,0.00021160396537624735,2.631900773708562e-17
e4_residual_1_over_16,44,f0^3*f1^2*f3^3,-8.754067329879763e-05,-8.754067329695743e-05,1.8402027948324906e-15
e4_residual_1_over_16,45,f0^3*f1*f2^4,3.3100131648417473e-05,3.310013164844946e-05,3.198396408832238e-17
e4_residual_1_over_16,46,f0^3*f1*f2^3*f3,0.00040907312821129654,0.00040907312821166495,3.684118982105744e-16
e4_residual_1_over_16,47,f0^3*f1*f2^2*f3^2,0.00011309628064446595,0.00011309628064273781,-1.7281369477789577e-15
e4_residual_1_over_16,48,f0^3*f1*f2*f3^3,0.0003287771362252611,0.00032877713622470636,-5.547320415522083e-16
e4_residual_1_over_16,49,f0^3*f1*f3^4,-3.305950093515923e-05,-3.305950093642271e-05,-1.2634817779695606e-15
